folio,line,type,word,pre_text,after_text
094r,N002,#slong,|s|ich,,ich
094r,N002,#slong,er|s|t,er,t
094r,N002,#slong,-S-al|s||s|en,-S-al,|s|en
094r,N002,#slong,-S-al|s||s|en,-S-al|s|,en
094r,N003,#slong,weich|s|el,weich,el
094r,N003,#slong,|s|ecz,,ecz
094r,N004,#slong,|s|y,,y
094r,N004,#slong,|s|iden,,iden
094r,N004,#slong,la|s|z,la,z
094r,N004,#slong,|s|treich,,treich
094r,N005,#slong,|s|y,,y
094r,N005,#slong,la|s|z,la,z
094r,N006,#slong,|s|yden,,yden
094r,N006,#slong,|s|y,,y
094r,N006,#slong,|s|ich,,ich
094r,N007,#slong,|s|y,,y
094r,N008,#slong,ge|s|to|s||s|en,ge,to|s||s|en
094r,N008,#slong,ge|s|to|s||s|en,ge|s|to,|s|en
094r,N008,#slong,ge|s|to|s||s|en,ge|s|to|s|,en
094r,N009,#slong,gla|s|irten,gla,irten
094r,N009,#slong,mag|s|tu,mag,tu
094r,N010,#slong,|s|achen,,achen
094r,N010,#slong,|s|al|s||s|en,,al|s||s|en
094r,N010,#slong,|s|al|s||s|en,|s|al,|s|en
094r,N010,#slong,|s|al|s||s|en,|s|al|s|,en
094r,N012,#slong,|s|alluan,,alluan
094r,N013,#slong,|s|to|s|z,,to|s|z
094r,N013,#slong,|s|to|s|z,|s|to,z
094r,N013,#slong,|s|treich,,treich
094r,N014,#slong,na|s|z,na,z
094r,N017,#slong,|s|y,,y
094r,N018,#slong,gew|s|z,gew,z
094r,N018,#slong,wa|s||s|er,wa,|s|er
094r,N018,#slong,wa|s||s|er,wa|s|,er
094r,N019,#slong,tun|s|t,tun,t
094r,N019,#slong,|s|ecz,,ecz
094r,N021,#slong,|s|y,,y
094r,N021,#slong,|s|ind,,ind
094r,N021,#slong,waych|s|t,waych,t
094r,N022,#slong,|s|y,,y
094r,N022,#slong,|s|chelfen,,chelfen
094r,N023,#slong,|s|y,,y
094r,N023,#slong,wa|s|z,wa,z
094r,N024,#slong,i|s|t,i,t
094r,N024,#slong,|s|to|s|z,,to|s|z
094r,N024,#slong,|s|to|s|z,|s|to,z
094r,N024,#slong,|s|y,,y
094r,N025,#slong,ke|s||s|el,ke,|s|el
094r,N025,#slong,ke|s||s|el,ke|s|,el
094r,N025,#slong,|s|ecz,,ecz
094r,N026,#slong,|s|y,,y
094r,N026,#slong,va|s|t,va,t
094r,N027,#slong,wa|s|er,wa,er
094r,N027,#slong,gemi|s|t,gemi,t
094r,N027,#slong,la|s|z,la,z
094r,N028,#slong,|s|yden,,yden
094r,N028,#slong,|s|y,,y
094v,N001,#slong,|s|ich,,ich
094v,N002,#slong,la|s|,la,
094v,N002,#slong,hai|s|,hai,
094v,N003,#slong,la|s|,la,
094v,N004,#slong,al|s|,al,
094v,N005,#slong,|s|o,,o
094v,N007,#slong,|s|chmid,,chmid
094v,N008,#slong,|s|alben,,alben
094v,N008,#slong,au|s|,au,
094v,N008,#slong,|s|uch,,uch
094v,N009,#slong,|s|einen,,einen
094v,N010,#slong,|s|under,,under
094v,N011,#slong,|s|under,,under
094v,N012,#slong,|s|tich,,tich
094v,N014,#slong,|s|under,,under
094v,N014,#slong,al|s|o,al,o
094v,N015,#slong,men|s|ch,men,ch
094v,N016,#slong,gepi|s||s|en,gepi,|s|en
094v,N016,#slong,gepi|s||s|en,gepi|s|,en
094v,N017,#slong,|s|o,,o
094v,N019,#slong,wa|s||s|er,wa,|s|er
094v,N019,#slong,wa|s||s|er,wa|s|,er
094v,N020,#slong,|s|icherlich,,icherlich
094v,N021,#slong,|s|o,,o
094v,N021,#slong,|s|chbiczen,,chbiczen
094v,N022,#slong,|s|am,,am
094v,N023,#slong,|s|o,,o
094v,N023,#slong,i|s|t,i,t
094v,N023,#slong,gene|s|en,gene,en
095r,N002,#slong,ge|s|oten,ge,oten
095r,N002,#slong,|s|y,,y
095r,N003,#slong,|s|chlach,,chlach
095r,N003,#slong,|s|ewd,,ewd
095r,N003,#slong,|s|y,,y
095r,N004,#slong,|s|ich,,ich
095r,N004,#slong,|s|neyden,,neyden
095r,N004,#slong,|s|tek-s-,,tek-s-
095r,N004,#slong,|s|y,,y
095r,N005,#slong,|s|piß,,piß
095r,N005,#slong,be|s|treich,be,treich
095r,N005,#slong,|s|y,,y
095r,N005,#slong,|s|o,,o
095r,N008,#slong,|s|y,,y
095r,N008,#slong,|s|y,,y
095r,N009,#slong,|s|peck,,peck
095r,N009,#slong,be|s|treich,be,treich
095r,N010,#slong,|s|lach,,lach
095r,N011,#slong,|s|pick,,pick
095r,N011,#slong,|s|y,,y
095r,N011,#slong,ro|s|t,ro,t
095r,N012,#slong,be|s|lach-s-,be,lach-s-
095r,N012,#slong,ver|s|alcz,ver,alcz
095r,N014,#slong,|s|teen,,teen
095r,N015,#slong,gepi|s||s|en,gepi,|s|en
095r,N015,#slong,gepi|s||s|en,gepi|s|,en
095r,N016,#slong,|s|ihet,,ihet
095r,N016,#slong,i|s|t,i,t
095r,N017,#slong,ver|s|ucht,ver,ucht
095r,N017,#slong,i|s|t,i,t
095r,N018,#slong,gewe|s|en,gewe,en
095r,N019,#slong,i|s|t,i,t
095r,N019,#slong,ge|s|undt,ge,undt
