,folio,line,type,word,pre_text,after_text,position
0,094r,N002,#slong,|s|ich,,ich,initial
1,094r,N002,#slong,er|s|t,er,t,medial
2,094r,N002,#slong,-S-al|s||s|en,-S-al,|s|en,medial
3,094r,N002,#slong,-S-al|s||s|en,-S-al|s|,en,medial
4,094r,N003,#slong,weich|s|el,weich,el,medial
5,094r,N003,#slong,|s|ecz,,ecz,initial
6,094r,N004,#slong,|s|y,,y,initial
7,094r,N004,#slong,|s|iden,,iden,initial
8,094r,N004,#slong,la|s|z,la,z,medial
9,094r,N004,#slong,|s|treich,,treich,initial
10,094r,N005,#slong,|s|y,,y,initial
11,094r,N005,#slong,la|s|z,la,z,medial
12,094r,N006,#slong,|s|yden,,yden,initial
13,094r,N006,#slong,|s|y,,y,initial
14,094r,N006,#slong,|s|ich,,ich,initial
15,094r,N007,#slong,|s|y,,y,initial
16,094r,N008,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
17,094r,N008,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
18,094r,N008,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
19,094r,N009,#slong,gla|s|irten,gla,irten,medial
20,094r,N009,#slong,mag|s|tu,mag,tu,medial
21,094r,N010,#slong,|s|achen,,achen,initial
22,094r,N010,#slong,|s|al|s||s|en,,al|s||s|en,initial
23,094r,N010,#slong,|s|al|s||s|en,|s|al,|s|en,medial
24,094r,N010,#slong,|s|al|s||s|en,|s|al|s|,en,medial
25,094r,N012,#slong,|s|alluan,,alluan,initial
26,094r,N013,#slong,|s|to|s|z,,to|s|z,initial
27,094r,N013,#slong,|s|to|s|z,|s|to,z,medial
28,094r,N013,#slong,|s|treich,,treich,initial
29,094r,N014,#slong,na|s|z,na,z,medial
30,094r,N017,#slong,|s|y,,y,initial
31,094r,N018,#slong,gew|s|z,gew,z,medial
32,094r,N018,#slong,wa|s||s|er,wa,|s|er,medial
33,094r,N018,#slong,wa|s||s|er,wa|s|,er,medial
34,094r,N019,#slong,tun|s|t,tun,t,medial
35,094r,N019,#slong,|s|ecz,,ecz,initial
36,094r,N021,#slong,|s|y,,y,initial
37,094r,N021,#slong,|s|ind,,ind,initial
38,094r,N021,#slong,waych|s|t,waych,t,medial
