folio,line,type,word,pre_text,after_text
094r,N001,#snorm,-S-equitur,,equitur
094r,N001,#snorm,naturali-s-,naturali,
094r,N002,#snorm,-S-al|s||s|en,,al|s||s|en
094r,N003,#snorm,-s-y,,y
094r,N005,#snorm,-s-y,,y
094r,N006,#snorm,-s-y,,y
094r,N006,#snorm,da-s-,da,
094r,N008,#snorm,al-s-,al,
094r,N009,#snorm,Al-s-o,Al,o
094r,N013,#snorm,e-s-,e,
094r,N017,#snorm,al-s-,al,
094r,N020,#snorm,-S-wing,,wing
094r,N020,#snorm,da-s-,da,
094r,N021,#snorm,da-s-,da,
094r,N022,#snorm,-S-o,,o
094r,N023,#snorm,-s-neyd,,neyd
094v,N001,#snorm,-S-o,,o
094v,N002,#snorm,-S-o,,o
094v,N003,#snorm,da-s-,da,
094v,N005,#snorm,ver-s-tet,ver,tet
094v,N005,#snorm,da-s-,da,
094v,N012,#snorm,da-s-,da,
094v,N013,#snorm,e-s-,e,
094v,N014,#snorm,da-s-,da,
094v,N014,#snorm,e-s-,e,
094v,N015,#snorm,-S-o,,o
094v,N016,#snorm,de-s-,de,
094v,N017,#snorm,lein-s-,lein,
094v,N017,#snorm,gro-s-,gro,
094v,N017,#snorm,al-s-,al,
094v,N017,#snorm,arbai-s-,arbai,
094v,N018,#snorm,da-s-,da,
094v,N019,#snorm,da-s-,da,
094v,N020,#snorm,-S-o,,o
095r,N001,#snorm,Arbei-s-,Arbei,
095r,N002,#snorm,-S-o,,o
095r,N002,#snorm,arbei-s-,arbei,
095r,N003,#snorm,al-s-,al,
095r,N003,#snorm,-S-o,,o
095r,N003,#snorm,e-s-,e,
095r,N004,#snorm,|s|tek-s-,|s|tek,
095r,N005,#snorm,e-s-,e,
095r,N007,#snorm,-S-o,,o
095r,N009,#snorm,da-s-,da,
095r,N010,#snorm,e-s-,e,
095r,N011,#snorm,leg-s-,leg,
095r,N012,#snorm,be|s|lach-s-,be|s|lach,
095r,N013,#snorm,da-s-,da,
095r,N013,#snorm,gla-s-,gla,
095r,N014,#snorm,la-s-,la,
095r,N014,#snorm,al-s-,al,
095r,N015,#snorm,al-s-,al,
095r,N017,#snorm,Da-s-,Da,
095r,N018,#snorm,da-s-,da,
