,folio,line,type,word,pre_text,after_text,position
0,094r,N001,#snorm,-S-equitur,,equitur,initial
1,094r,N001,#snorm,naturali-s-,naturali,,final
2,094r,N002,#snorm,-S-al|s||s|en,,al|s||s|en,initial
3,094r,N003,#snorm,-s-y,,y,initial
4,094r,N005,#snorm,-s-y,,y,initial
5,094r,N006,#snorm,-s-y,,y,initial
6,094r,N006,#snorm,da-s-,da,,final
7,094r,N008,#snorm,al-s-,al,,final
8,094r,N009,#snorm,Al-s-o,Al,o,medial
9,094r,N013,#snorm,e-s-,e,,final
10,094r,N017,#snorm,al-s-,al,,final
11,094r,N020,#snorm,-S-wing,,wing,initial
12,094r,N020,#snorm,da-s-,da,,final
13,094r,N021,#snorm,da-s-,da,,final
14,094r,N022,#snorm,-S-o,,o,initial
15,094r,N023,#snorm,-s-neyd,,neyd,initial
16,094v,N001,#snorm,-S-o,,o,initial
17,094v,N002,#snorm,-S-o,,o,initial
18,094v,N003,#snorm,da-s-,da,,final
19,094v,N005,#snorm,ver-s-tet,ver,tet,medial
20,094v,N005,#snorm,da-s-,da,,final
21,094v,N012,#snorm,da-s-,da,,final
22,094v,N013,#snorm,e-s-,e,,final
23,094v,N014,#snorm,da-s-,da,,final
24,094v,N014,#snorm,e-s-,e,,final
25,094v,N015,#snorm,-S-o,,o,initial
26,094v,N016,#snorm,de-s-,de,,final
27,094v,N017,#snorm,lein-s-,lein,,final
28,094v,N017,#snorm,gro-s-,gro,,final
29,094v,N017,#snorm,al-s-,al,,final
30,094v,N017,#snorm,arbai-s-,arbai,,final
31,094v,N018,#snorm,da-s-,da,,final
32,094v,N019,#snorm,da-s-,da,,final
33,094v,N020,#snorm,-S-o,,o,initial
34,095r,N001,#snorm,Arbei-s-,Arbei,,final
35,095r,N002,#snorm,-S-o,,o,initial
36,095r,N002,#snorm,arbei-s-,arbei,,final
37,095r,N003,#snorm,al-s-,al,,final
38,095r,N003,#snorm,-S-o,,o,initial
39,095r,N003,#snorm,e-s-,e,,final
40,095r,N004,#snorm,|s|tek-s-,|s|tek,,final
41,095r,N005,#snorm,e-s-,e,,final
42,095r,N007,#snorm,-S-o,,o,initial
43,095r,N009,#snorm,da-s-,da,,final
44,095r,N010,#snorm,e-s-,e,,final
45,095r,N011,#snorm,leg-s-,leg,,final
46,095r,N012,#snorm,be|s|lach-s-,be|s|lach,,final
47,095r,N013,#snorm,da-s-,da,,final
48,095r,N013,#snorm,gla-s-,gla,,final
49,095r,N014,#snorm,la-s-,la,,final
50,095r,N014,#snorm,al-s-,al,,final
51,095r,N015,#snorm,al-s-,al,,final
52,095r,N017,#snorm,Da-s-,Da,,final
53,095r,N018,#snorm,da-s-,da,,final
