folio,line,type,word,pre_text,after_text
011r,N002,#slong,|s|o,,o
011r,N003,#slong,|s|treich,,treich
011r,N005,#slong,vi|s|ch,vi,ch
011r,N006,#slong,vi|s|ch,vi,ch
011r,N006,#slong,ha|s|t,ha,t
011r,N006,#slong,|s|o,,o
011r,N007,#slong,wa|s|-s-er,wa,-s-er
011r,N008,#slong,richcz|s|t,richcz,t
011r,N008,#slong,|s|o,,o
011r,N008,#slong,|s|neydt,,neydt
011r,N009,#slong,|s|emmel,,emmel
011r,N009,#slong,mag|s|tu,mag,tu
011r,N010,#slong,|s|uppen,,uppen
011r,N012,#slong,rei|s|ch,rei,ch
011r,N012,#slong,|s|,,
011r,N012,#slong,|s|ewdt,,ewdt
011r,N013,#slong,rei|s|ch,rei,ch
011r,N013,#slong,wa|s|-s-er,wa,-s-er
011r,N013,#slong,|s|ich,,ich
011r,N014,#slong,va|s|t,va,t
011r,N014,#slong,ver|s|iedt,ver,iedt
011r,N014,#slong,|s|eich,,eich
011r,N014,#slong,|s|chon,,chon
011r,N015,#slong,|s|cherben,,cherben
011r,N015,#slong,|s|chon,,chon
011r,N018,#slong,|s|iech,,iech
011r,N019,#slong,i|s|t,i,t
011r,N019,#slong,|s|a,,a
011r,N020,#slong,ver|s|alcz,ver,alcz
011r,N021,#slong,gmue|s|-s-,gmue,-s-
011r,N022,#slong,wal|s|ch,wal,ch
011r,N023,#slong,|s|emel,,emel
011r,N023,#slong,|s|treich,,treich
011v,N001,#slong,ha|s|tu,ha,tu
011v,N002,#slong,|s|o,,o
011v,N002,#slong,|s|tat,,tat
011v,N003,#slong,|s|ecz,,ecz
011v,N005,#slong,|s|o,,o
011v,N005,#slong,|s|o,,o
011v,N006,#slong,e|s||s|enn,e,|s|enn
011v,N006,#slong,e|s||s|enn,e|s|,enn
011v,N007,#slong,|s|ewd-s-,,ewd-s-
011v,N009,#slong,|s|y,,y
011v,N010,#slong,petter|s|ill,petter,ill
011v,N010,#slong,|s|aluon,,aluon
011v,N012,#slong,ro|s|t,ro,t
011v,N015,#slong,|s|y,,y
011v,N016,#slong,|s|malcz,,malcz
011v,N018,#slong,petter|s|ill,petter,ill
011v,N019,#slong,|s|toß,,toß
011v,N019,#slong,|s|y,,y
011v,N019,#slong,|s|pyß,,pyß
011v,N020,#slong,al|s|o,al,o
011v,N020,#slong,|s|ew,,ew
011v,N021,#slong,|s|o,,o
011v,N021,#slong,|s|ewd,,ewd
011v,N021,#slong,|s|y,,y
011v,N022,#slong,|s|chel-s-,,chel-s-
011v,N022,#slong,|s|y,,y
011v,N022,#slong,|s|malcz,,malcz
011v,N022,#slong,al|s|o,al,o
011v,N023,#slong,|s|ewdt,,ewdt
012r,N001,#slong,|s|affrann,,affrann
012r,N002,#slong,|s|malcz,,malcz
012r,N003,#slong,al|s|o,al,o
012r,N003,#slong,i|s|t,i,t
012r,N004,#slong,|s|o,,o
012r,N004,#slong,|s|ewd,,ewd
012r,N004,#slong,|s|y,,y
012r,N005,#slong,|s|y,,y
012r,N006,#slong,petter|s|ill,petter,ill
012r,N006,#slong,|s|toß,,toß
012r,N008,#slong,|s|y,,y
012r,N008,#slong,al|s|o,al,o
012r,N009,#slong,|s|ol,,ol
012r,N010,#slong,|s|ol,,ol
012r,N010,#slong,petter|s|ill,petter,ill
012r,N011,#slong,|s|toß,,toß
012r,N011,#slong,|s|lach-s-,,lach-s-
012r,N013,#slong,ra|s|t,ra,t
012r,N013,#slong,|s|y,,y
012r,N013,#slong,|s|malcz,,malcz
012r,N014,#slong,|s|y,,y
012r,N014,#slong,al|s|o,al,o
012r,N014,#slong,|s|y,,y
012r,N017,#slong,|s|o,,o
012r,N017,#slong,|s|y,,y
012r,N017,#slong,al|s|o,al,o
012r,N017,#slong,|s|ewd,,ewd
012r,N017,#slong,|s|y,,y
012r,N018,#slong,|s|pal,,pal
012r,N018,#slong,|s|chel-s-,,chel-s-
012r,N018,#slong,|s|y,,y
012r,N018,#slong,|s|palcz,,palcz
012r,N018,#slong,|s|y,,y
012r,N019,#slong,|s|y,,y
012r,N019,#slong,|s|malcz,,malcz
012r,N019,#slong,|s|y,,y
012r,N021,#slong,|s|lach-s-,,lach-s-
012r,N022,#slong,a|s||s|o,a,|s|o
012r,N022,#slong,a|s||s|o,a|s|,o
012r,N022,#slong,i|s|t,i,t
012r,N023,#slong,mor|s|chuchen,mor,chuchen
012v,N001,#slong,|s|emel,,emel
012v,N002,#slong,|s|tupp,,tupp
012v,N002,#slong,|s|neyd,,neyd
012v,N003,#slong,|s|chon,,chon
012v,N004,#slong,|s|malcz,,malcz
012v,N004,#slong,mor|s|er,mor,er
012v,N004,#slong,|s|ecz,,ecz
012v,N006,#slong,i|s|t,i,t
012v,N006,#slong,|s|o,,o
012v,N006,#slong,|s|neyd,,neyd
012v,N006,#slong,|s|cheybm,,cheybm
012v,N007,#slong,ti|s|ch,ti,ch
012v,N011,#slong,|s|eich,,eich
012v,N012,#slong,|s|ecz,,ecz
012v,N014,#slong,|s|lach,,lach
012v,N017,#slong,|s|o,,o
012v,N020,#slong,|s|o,,o
012v,N021,#slong,|s|e,,e
012v,N022,#slong,|s|trawben,,trawben
012v,N023,#slong,|s|ewdt,,ewdt
013r,N001,#slong,hay|s||s|en,hay,|s|en
013r,N001,#slong,hay|s||s|en,hay|s|,en
013r,N001,#slong,mag|s|,mag,
013r,N005,#slong,|s|ecz,,ecz
013r,N005,#slong,hay|s||s|-s-,hay,|s|-s-
013r,N005,#slong,hay|s||s|-s-,hay|s|,-s-
013r,N006,#slong,|s|chon,,chon
013r,N008,#slong,gnwg|s|am,gnwg,am
013r,N008,#slong,|s|o,,o
013r,N009,#slong,ariba|s||s|en,ariba,|s|en
013r,N009,#slong,ariba|s||s|en,ariba|s|,en
013r,N009,#slong,czewg|s|-s-,czewg,-s-
013r,N012,#slong,weych|s|len,weych,len
013r,N013,#slong,|s|o,,o
013r,N014,#slong,wa|s||s|er,wa,|s|er
013r,N014,#slong,wa|s||s|er,wa|s|,er
013r,N015,#slong,hay|s|-s-,hay,-s-
013r,N015,#slong,|s|malcz,,malcz
013r,N016,#slong,weych|s|len,weych,len
013r,N017,#slong,|s|malcz,,malcz
013r,N018,#slong,grew|s||s|en,grew,|s|en
013r,N018,#slong,grew|s||s|en,grew|s|,en
013r,N019,#slong,|s|o,,o
013r,N019,#slong,chrew|s||s|en,chrew,|s|en
013r,N019,#slong,chrew|s||s|en,chrew|s|,en
013r,N019,#slong,|s|neydt,,neydt
013r,N020,#slong,|s|toß,,toß
013r,N021,#slong,mor|s|er,mor,er
013r,N022,#slong,|s|iblein,,iblein
013r,N022,#slong,|s|emel,,emel
013v,N004,#slong,|s|o,,o
013v,N005,#slong,mag|s|t,mag,t
013v,N006,#slong,|s|malcz,,malcz
013v,N010,#slong,|s|o,,o
013v,N010,#slong,|s|o,,o
013v,N012,#slong,|s|lach,,lach
013v,N012,#slong,gro|s||s|en,gro,|s|en
013v,N012,#slong,gro|s||s|en,gro|s|,en
013v,N013,#slong,|s|picz,,picz
013v,N013,#slong,|s|y,,y
013v,N014,#slong,|s|affran,,affran
