,folio,line,type,word,pre_text,after_text,position
0,011r,N002,#slong,|s|o,,o,initial
1,011r,N003,#slong,|s|treich,,treich,initial
2,011r,N005,#slong,vi|s|ch,vi,ch,medial
3,011r,N006,#slong,vi|s|ch,vi,ch,medial
4,011r,N006,#slong,ha|s|t,ha,t,medial
5,011r,N006,#slong,|s|o,,o,initial
6,011r,N007,#slong,wa|s|-s-er,wa,-s-er,medial
7,011r,N008,#slong,richcz|s|t,richcz,t,medial
8,011r,N008,#slong,|s|o,,o,initial
9,011r,N008,#slong,|s|neydt,,neydt,initial
10,011r,N009,#slong,|s|emmel,,emmel,initial
11,011r,N009,#slong,mag|s|tu,mag,tu,medial
12,011r,N010,#slong,|s|uppen,,uppen,initial
13,011r,N012,#slong,rei|s|ch,rei,ch,medial
14,011r,N012,#slong,|s|,,,initial
15,011r,N012,#slong,|s|ewdt,,ewdt,initial
16,011r,N013,#slong,rei|s|ch,rei,ch,medial
17,011r,N013,#slong,wa|s|-s-er,wa,-s-er,medial
18,011r,N013,#slong,|s|ich,,ich,initial
19,011r,N014,#slong,va|s|t,va,t,medial
20,011r,N014,#slong,ver|s|iedt,ver,iedt,medial
21,011r,N014,#slong,|s|eich,,eich,initial
22,011r,N014,#slong,|s|chon,,chon,initial
23,011r,N015,#slong,|s|cherben,,cherben,initial
24,011r,N015,#slong,|s|chon,,chon,initial
25,011r,N018,#slong,|s|iech,,iech,initial
26,011r,N019,#slong,i|s|t,i,t,medial
27,011r,N019,#slong,|s|a,,a,initial
28,011r,N020,#slong,ver|s|alcz,ver,alcz,medial
29,011r,N021,#slong,gmue|s|-s-,gmue,-s-,medial
30,011r,N022,#slong,wal|s|ch,wal,ch,medial
31,011r,N023,#slong,|s|emel,,emel,initial
32,011r,N023,#slong,|s|treich,,treich,initial
33,011v,N001,#slong,ha|s|tu,ha,tu,medial
34,011v,N002,#slong,|s|o,,o,initial
35,011v,N002,#slong,|s|tat,,tat,initial
36,011v,N003,#slong,|s|ecz,,ecz,initial
37,011v,N005,#slong,|s|o,,o,initial
38,011v,N005,#slong,|s|o,,o,initial
39,011v,N006,#slong,e|s||s|enn,e,|s|enn,medial
40,011v,N006,#slong,e|s||s|enn,e|s|,enn,medial
41,011v,N007,#slong,|s|ewd-s-,,ewd-s-,initial
42,011v,N009,#slong,|s|y,,y,initial
43,011v,N010,#slong,petter|s|ill,petter,ill,medial
44,011v,N010,#slong,|s|aluon,,aluon,initial
45,011v,N012,#slong,ro|s|t,ro,t,medial
46,011v,N015,#slong,|s|y,,y,initial
47,011v,N016,#slong,|s|malcz,,malcz,initial
48,011v,N018,#slong,petter|s|ill,petter,ill,medial
49,011v,N019,#slong,|s|toß,,toß,initial
50,011v,N019,#slong,|s|y,,y,initial
51,011v,N019,#slong,|s|pyß,,pyß,initial
52,011v,N020,#slong,al|s|o,al,o,medial
53,011v,N020,#slong,|s|ew,,ew,initial
54,011v,N021,#slong,|s|o,,o,initial
55,011v,N021,#slong,|s|ewd,,ewd,initial
56,011v,N021,#slong,|s|y,,y,initial
57,011v,N022,#slong,|s|chel-s-,,chel-s-,initial
58,011v,N022,#slong,|s|y,,y,initial
59,011v,N022,#slong,|s|malcz,,malcz,initial
60,011v,N022,#slong,al|s|o,al,o,medial
