folio,initial,medial,final
011r,18,15,0
011v,21,8,0
012r,29,12,0
012v,17,3,0
013r,11,18,1
013v,14,10,0
014r,14,10,1
014v,20,9,0
015r,11,10,0
015v,14,11,0
016r,23,2,0
016v,15,12,0
017r,10,10,1
017v,28,9,0
018r,28,15,0
018v,15,16,0
019r,20,20,0
019v,23,11,1
020r,22,11,0
020v,21,21,0
021r,11,15,0
021v,12,13,0
022r,14,21,0
022v,18,15,0
023r,12,9,0
023v,21,22,1
024r,20,10,0
024v,18,11,0
025r,17,13,0
025v,13,13,0
026r,11,29,0
026v,20,16,0
027r,12,17,0
027v,29,13,0
028r,22,17,0
028v,15,11,0
029r,17,19,0
029v,12,16,0
030r,12,10,0
030v,18,19,0
031r,11,14,1
031v,14,13,0
032r,10,3,0
032v,18,7,0
033r,12,15,0
033v,13,15,0
034r,17,9,0
034v,9,17,0
035r,18,17,0
035v,23,9,0
036r,23,15,0
036v,13,16,0
037r,13,10,0
037v,14,11,0
038r,14,11,0
038v,9,10,0
039r,10,8,0
039v,13,4,0
040r,11,13,0
040v,20,9,0
041r,14,12,1
041v,18,11,0
042r,29,13,0
042v,12,12,0
043r,21,6,0
043v,22,16,0
044r,20,18,0
044v,13,13,0
045r,14,14,0
045v,10,8,0
046r,16,17,0
046v,11,13,0
047r,9,13,1
047v,15,14,0
048r,21,13,0
048v,20,11,1
049r,25,24,1
049v,14,21,0
050r,18,17,0
050v,21,21,0
051r,24,22,1
051v,12,25,0
052r,17,20,0
052v,11,11,1
053r,14,13,0
053v,16,12,0
054r,14,26,0
054v,19,19,0
055r,12,25,0
055v,14,15,0
056r,17,12,0
056v,15,20,0
057r,14,17,0
057v,13,13,0
058r,14,14,0
058v,17,18,1
059r,13,14,0
059v,11,15,0
060r,11,10,1
060v,17,19,0
061r,16,24,0
061v,9,29,0
062r,11,28,0
062v,24,9,0
063r,33,17,0
063v,18,21,0
064r,15,13,0
064v,10,16,0
065r,16,8,0
065v,9,23,0
066r,9,19,0
066v,10,8,0
067r,11,20,0
067v,21,7,0
068r,12,15,0
068v,12,9,0
069r,15,24,0
069v,13,17,0
070r,19,19,0
070v,24,13,0
071r,23,15,0
071v,12,5,0
072r,16,13,0
072v,14,15,1
073r,18,14,0
073v,19,24,0
074r,14,7,0
074v,19,22,0
075r,19,11,0
075v,24,20,0
076r,22,11,0
076v,20,11,0
077r,16,10,0
077v,15,20,0
078r,29,25,0
078v,14,23,0
079r,23,25,0
079v,22,27,0
080r,17,22,0
080v,13,13,0
081r,11,25,0
081v,12,20,0
082r,16,22,0
082v,20,13,0
083r,13,23,1
083v,23,26,0
084r,27,17,0
084v,14,19,0
085r,23,15,0
085v,16,16,0
086r,33,26,0
086v,3,7,0
087r,2,19,0
087v,1,10,1
088r,0,13,0
088v,0,5,0
089r,2,8,0
089v,5,14,0
090r,7,28,0
090v,4,16,0
091r,4,35,0
091v,10,24,0
092r,0,21,0
092v,5,21,0
093r,4,21,0
093v,1,3,0
094r,15,18,0
094v,12,7,0
