folio,line,type,word,pre_text,after_text
011r,N003,#snorm,-S-toß,,toß
011r,N007,#snorm,wa|s|-s-er,wa|s|,er
011r,N007,#snorm,e-s-,e,
011r,N008,#snorm,e-s-,e,
011r,N009,#snorm,da-s-,da,
011r,N011,#snorm,pachen-s-,pachen,
011r,N012,#snorm,-S-o,,o
011r,N013,#snorm,wa|s|-s-er,wa|s|,er
011r,N013,#snorm,da-s-,da,
011r,N013,#snorm,e-s-,e,
011r,N017,#snorm,-S-malcz,,malcz
011r,N018,#snorm,e-s-,e,
011r,N018,#snorm,al-s-,al,
011r,N019,#snorm,e-s-,e,
011r,N019,#snorm,-S-o,,o
011r,N020,#snorm,e-s-,e,
011r,N021,#snorm,gmue|s|-s-,gmue|s|,
011r,N021,#snorm,-S-o,,o
011r,N023,#snorm,e-s-,e,
011v,N001,#snorm,da-s-,da,
011v,N002,#snorm,e-s-,e,
011v,N003,#snorm,chlain-s-,chlain,
011v,N003,#snorm,e-s-,e,
011v,N004,#snorm,e-s-,e,
011v,N004,#snorm,al-s-,al,
011v,N004,#snorm,e-s-,e,
011v,N005,#snorm,heb-s-,heb,
011v,N005,#snorm,e-s-,e,
011v,N007,#snorm,-S-o,,o
011v,N007,#snorm,nymb-s-,nymb,
011v,N007,#snorm,|s|ewd-s-,|s|ewd,
011v,N008,#snorm,-S-chel-s-,,chel-s-
011v,N008,#snorm,-S-chel-s-,-S-chel,
011v,N008,#snorm,-S-ney-s-,,ney-s-
011v,N008,#snorm,-S-ney-s-,-S-ney,
011v,N008,#snorm,yeglichg-s-,yeglichg,
011v,N011,#snorm,ful-s-,ful,
011v,N012,#snorm,-S-malcz,,malcz
011v,N012,#snorm,e-s-,e,
011v,N013,#snorm,mach-s-,mach,
011v,N015,#snorm,-S-o,,o
011v,N017,#snorm,e-s-,e,
011v,N022,#snorm,|s|chel-s-,|s|chel,
012r,N001,#snorm,-S-y,,y
012r,N001,#snorm,mach-s-,mach,
012r,N002,#snorm,ain-s-,ain,
012r,N003,#snorm,e-s-,e,
012r,N005,#snorm,-s-neydt,,neydt
012r,N007,#snorm,-S-lach-s-,,lach-s-
012r,N007,#snorm,-S-lach-s-,-S-lach,
012r,N008,#snorm,mach=g-s-,mach=g,
012r,N010,#snorm,-S-o,,o
012r,N011,#snorm,|s|lach-s-,|s|lach,
012r,N012,#snorm,mach-s-,mach,
012r,N018,#snorm,|s|chel-s-,|s|chel,
012r,N019,#snorm,ro-s-t,ro,t
012r,N021,#snorm,|s|lach-s-,|s|lach,
012r,N021,#snorm,leg-s-,leg,
012r,N022,#snorm,mach-s-,mach,
012r,N022,#snorm,e-s-,e,
012v,N001,#snorm,-S-o,,o
012v,N002,#snorm,e-s-,e,
012v,N002,#snorm,e-s-,e,
012v,N003,#snorm,mu-s-cat,mu,cat
012v,N005,#snorm,e-s-,e,
012v,N005,#snorm,e-s-,e,
012v,N006,#snorm,e-s-,e,
012v,N007,#snorm,e-s-,e,
