,folio,line,type,word,pre_text,after_text,position
0,011r,N003,#snorm,-S-toß,,toß,initial
1,011r,N007,#snorm,wa|s|-s-er,wa|s|,er,medial
2,011r,N007,#snorm,e-s-,e,,final
3,011r,N008,#snorm,e-s-,e,,final
4,011r,N009,#snorm,da-s-,da,,final
5,011r,N011,#snorm,pachen-s-,pachen,,final
6,011r,N012,#snorm,-S-o,,o,initial
7,011r,N013,#snorm,wa|s|-s-er,wa|s|,er,medial
8,011r,N013,#snorm,da-s-,da,,final
9,011r,N013,#snorm,e-s-,e,,final
10,011r,N017,#snorm,-S-malcz,,malcz,initial
11,011r,N018,#snorm,e-s-,e,,final
12,011r,N018,#snorm,al-s-,al,,final
13,011r,N019,#snorm,e-s-,e,,final
14,011r,N019,#snorm,-S-o,,o,initial
15,011r,N020,#snorm,e-s-,e,,final
16,011r,N021,#snorm,gmue|s|-s-,gmue|s|,,final
17,011r,N021,#snorm,-S-o,,o,initial
18,011r,N023,#snorm,e-s-,e,,final
19,011v,N001,#snorm,da-s-,da,,final
20,011v,N002,#snorm,e-s-,e,,final
21,011v,N003,#snorm,chlain-s-,chlain,,final
22,011v,N003,#snorm,e-s-,e,,final
23,011v,N004,#snorm,e-s-,e,,final
24,011v,N004,#snorm,al-s-,al,,final
25,011v,N004,#snorm,e-s-,e,,final
26,011v,N005,#snorm,heb-s-,heb,,final
27,011v,N005,#snorm,e-s-,e,,final
28,011v,N007,#snorm,-S-o,,o,initial
29,011v,N007,#snorm,nymb-s-,nymb,,final
30,011v,N007,#snorm,|s|ewd-s-,|s|ewd,,final
31,011v,N008,#snorm,-S-chel-s-,,chel-s-,initial
32,011v,N008,#snorm,-S-chel-s-,-S-chel,,final
33,011v,N008,#snorm,-S-ney-s-,,ney-s-,initial
34,011v,N008,#snorm,-S-ney-s-,-S-ney,,final
35,011v,N008,#snorm,yeglichg-s-,yeglichg,,final
36,011v,N011,#snorm,ful-s-,ful,,final
37,011v,N012,#snorm,-S-malcz,,malcz,initial
38,011v,N012,#snorm,e-s-,e,,final
39,011v,N013,#snorm,mach-s-,mach,,final
40,011v,N015,#snorm,-S-o,,o,initial
41,011v,N017,#snorm,e-s-,e,,final
42,011v,N022,#snorm,|s|chel-s-,|s|chel,,final
43,012r,N001,#snorm,-S-y,,y,initial
44,012r,N001,#snorm,mach-s-,mach,,final
45,012r,N002,#snorm,ain-s-,ain,,final
46,012r,N003,#snorm,e-s-,e,,final
47,012r,N005,#snorm,-s-neydt,,neydt,initial
48,012r,N007,#snorm,-S-lach-s-,,lach-s-,initial
49,012r,N007,#snorm,-S-lach-s-,-S-lach,,final
50,012r,N008,#snorm,mach=g-s-,mach=g,,final
51,012r,N010,#snorm,-S-o,,o,initial
52,012r,N011,#snorm,|s|lach-s-,|s|lach,,final
53,012r,N012,#snorm,mach-s-,mach,,final
54,012r,N018,#snorm,|s|chel-s-,|s|chel,,final
55,012r,N019,#snorm,ro-s-t,ro,t,medial
56,012r,N021,#snorm,|s|lach-s-,|s|lach,,final
57,012r,N021,#snorm,leg-s-,leg,,final
58,012r,N022,#snorm,mach-s-,mach,,final
59,012r,N022,#snorm,e-s-,e,,final
60,012v,N001,#snorm,-S-o,,o,initial
61,012v,N002,#snorm,e-s-,e,,final
62,012v,N002,#snorm,e-s-,e,,final
63,012v,N003,#snorm,mu-s-cat,mu,cat,medial
64,012v,N005,#snorm,e-s-,e,,final
65,012v,N005,#snorm,e-s-,e,,final
66,012v,N006,#snorm,e-s-,e,,final
67,012v,N007,#snorm,e-s-,e,,final
68,012v,N009,#snorm,-S-o,,o,initial
69,012v,N013,#snorm,e-s-,e,,final
70,012v,N013,#snorm,da-s-,da,,final
71,012v,N013,#snorm,e-s-,e,,final
72,012v,N019,#snorm,-S-ewdt,,ewdt,initial
73,012v,N019,#snorm,da-s-,da,,final
74,012v,N022,#snorm,pach-s-,pach,,final
75,012v,N022,#snorm,al-s-,al,,final
76,012v,N023,#snorm,hach-s-,hach,,final
77,012v,N023,#snorm,e-s-,e,,final
78,013r,N004,#snorm,-S-o,,o,initial
79,013r,N005,#snorm,hay|s||s|-s-,hay|s||s|,,final
80,013r,N006,#snorm,-S-malcz,,malcz,initial
81,013r,N007,#snorm,da-s-,da,,final
82,013r,N007,#snorm,-S-malcz,,malcz,initial
83,013r,N009,#snorm,e-s-,e,,final
84,013r,N009,#snorm,czewg|s|-s-,czewg|s|,,final
85,013r,N011,#snorm,mahg-s-,mahg,,final
86,013r,N015,#snorm,hay|s|-s-,hay|s|,,final
87,013r,N017,#snorm,pach-s-,pach,,final
88,013r,N019,#snorm,da-s-,da,,final
89,013r,N020,#snorm,da-s-,da,,final
90,013r,N021,#snorm,treyb-s-,treyb,,final
91,013r,N023,#snorm,-S-lach,,lach,initial
92,013r,N023,#snorm,da-s-,da,,final
93,013v,N001,#snorm,da-s-,da,,final
94,013v,N005,#snorm,her=ti-s-t,her=ti,t,medial
95,013v,N006,#snorm,al-s-,al,,final
96,013v,N006,#snorm,da-s-,da,,final
97,013v,N008,#snorm,al-s-,al,,final
98,013v,N008,#snorm,honig-s-,honig,,final
99,013v,N008,#snorm,da-s-,da,,final
100,013v,N009,#snorm,da-s-,da,,final
101,013v,N012,#snorm,-S-o,,o,initial
102,013v,N015,#snorm,da-s-,da,,final
103,013v,N016,#snorm,hack-s-,hack,,final
104,013v,N016,#snorm,e-s-,e,,final
105,013v,N018,#snorm,leg-s-,leg,,final
106,013v,N019,#snorm,-S-malcz,,malcz,initial
107,013v,N021,#snorm,mag-s-,mag,,final
108,013v,N021,#snorm,leg-s-,leg,,final
109,013v,N021,#snorm,de-s-,de,,final
110,013v,N022,#snorm,de-s-,de,,final
111,013v,N022,#snorm,ain-s-,ain,,final
112,013v,N022,#snorm,chlain-s-,chlain,,final
113,013v,N023,#snorm,-S-malcz,,malcz,initial
114,014r,N002,#snorm,da-s-,da,,final
115,014r,N002,#snorm,da-s-,da,,final
116,014r,N003,#snorm,e-s-,e,,final
117,014r,N004,#snorm,e-s-,e,,final
118,014r,N005,#snorm,e-s-,e,,final
119,014r,N007,#snorm,-S-o,,o,initial
120,014r,N008,#snorm,|s|ewd-s-,|s|ewd,,final
121,014r,N010,#snorm,e-s-,e,,final
122,014r,N010,#snorm,e-s-,e,,final
123,014r,N011,#snorm,-s-ewdt,,ewdt,initial
124,014r,N013,#snorm,-s-ten,,ten,initial
125,014r,N013,#snorm,e-s-,e,,final
126,014r,N013,#snorm,al-s-,al,,final
127,014r,N014,#snorm,da-s-,da,,final
128,014r,N015,#snorm,da-s-,da,,final
129,014r,N015,#snorm,da-s-,da,,final
130,014r,N016,#snorm,e-s-,e,,final
131,014r,N017,#snorm,-S-o,,o,initial
132,014r,N017,#snorm,e-s-,e,,final
133,014r,N017,#snorm,-s-nytten,,nytten,initial
134,014r,N019,#snorm,gmu|s|-s-,gmu|s|,,final
135,014r,N020,#snorm,-S-o,,o,initial
136,014r,N021,#snorm,-S-emell,,emell,initial
137,014r,N021,#snorm,e-s-,e,,final
138,014v,N001,#snorm,da-s-,da,,final
139,014v,N001,#snorm,e-s-,e,,final
140,014v,N001,#snorm,e-s-,e,,final
141,014v,N003,#snorm,da-s-,da,,final
142,014v,N004,#snorm,-S-ewd,,ewd,initial
143,014v,N005,#snorm,hel-s-,hel,,final
144,014v,N005,#snorm,hack-s-,hack,,final
145,014v,N006,#snorm,mach-s-,mach,,final
146,014v,N007,#snorm,e-s-,e,,final
147,014v,N008,#snorm,e-s-,e,,final
148,014v,N008,#snorm,al-s-,al,,final
149,014v,N011,#snorm,-S-o,,o,initial
150,014v,N013,#snorm,hack-s-,hack,,final
151,014v,N018,#snorm,dunne-s-,dunne,,final
152,014v,N018,#snorm,al-s-,al,,final
153,014v,N020,#snorm,e-s-,e,,final
154,014v,N020,#snorm,e-s-,e,,final
155,015r,N003,#snorm,al-s-,al,,final
156,015r,N004,#snorm,al-s-,al,,final
157,015r,N007,#snorm,e-s-,e,,final
158,015r,N007,#snorm,|s|ieden-s-,|s|ieden,,final
159,015r,N008,#snorm,da-s-,da,,final
160,015r,N008,#snorm,e-s-,e,,final
161,015r,N009,#snorm,e-s-,e,,final
162,015r,N009,#snorm,al-s-,al,,final
163,015r,N009,#snorm,da-s-,da,,final
164,015r,N009,#snorm,e-s-,e,,final
165,015r,N010,#snorm,-S-o,,o,initial
166,015r,N010,#snorm,e-s-,e,,final
167,015r,N011,#snorm,e-s-,e,,final
168,015r,N011,#snorm,al-s-,al,,final
169,015r,N012,#snorm,e-s-,e,,final
170,015r,N012,#snorm,-S-malcz,,malcz,initial
171,015r,N013,#snorm,e-s-,e,,final
172,015r,N013,#snorm,da-s-,da,,final
173,015r,N013,#snorm,e-s-,e,,final
174,015r,N014,#snorm,e-s-,e,,final
175,015r,N014,#snorm,ein-s-,ein,,final
176,015r,N016,#snorm,e-s-,e,,final
177,015r,N017,#snorm,-S-o,,o,initial
178,015r,N017,#snorm,e-s-,e,,final
179,015r,N017,#snorm,al-s-,al,,final
180,015r,N018,#snorm,e-s-,e,,final
181,015r,N019,#snorm,e-s-,e,,final
182,015r,N020,#snorm,e-s-,e,,final
183,015r,N020,#snorm,ander-s-,ander,,final
184,015r,N020,#snorm,e-s-,e,,final
185,015r,N021,#snorm,e-s-,e,,final
186,015r,N021,#snorm,ander-s-,ander,,final
187,015r,N022,#snorm,e-s-,e,,final
188,015r,N023,#snorm,wenig-s-,wenig,,final
189,015r,N023,#snorm,wel-s-,wel,,final
190,015v,N004,#snorm,-S-o,,o,initial
191,015v,N005,#snorm,al-s-,al,,final
192,015v,N007,#snorm,-S-meller,,meller,initial
193,015v,N010,#snorm,da-s-,da,,final
194,015v,N012,#snorm,da-s-,da,,final
195,015v,N012,#snorm,al-s-,al,,final
196,015v,N012,#snorm,da-s-,da,,final
197,015v,N014,#snorm,ain-s-,ain,,final
198,015v,N015,#snorm,da-s-,da,,final
199,015v,N015,#snorm,e-s-,e,,final
200,015v,N016,#snorm,e-s-,e,,final
201,015v,N017,#snorm,da-s-,da,,final
202,015v,N017,#snorm,e-s-,e,,final
203,015v,N018,#snorm,e-s-,e,,final
204,015v,N018,#snorm,e-s-,e,,final
205,015v,N019,#snorm,da-s-,da,,final
206,015v,N019,#snorm,e-s-,e,,final
207,015v,N023,#snorm,Da-s-,Da,,final
208,015v,N023,#snorm,e-s-,e,,final
209,016r,N003,#snorm,al-s-,al,,final
210,016r,N006,#snorm,al-s-,al,,final
211,016r,N007,#snorm,da-s-,da,,final
212,016r,N008,#snorm,da-s-,da,,final
213,016r,N009,#snorm,-S-o,,o,initial
214,016r,N012,#snorm,-S-o,,o,initial
215,016r,N013,#snorm,-S-malcz,,malcz,initial
216,016r,N019,#snorm,-s-y,,y,initial
217,016r,N020,#snorm,leg-s-,leg,,final
218,016r,N021,#snorm,-S-ieden,,ieden,initial
219,016r,N021,#snorm,da-s-,da,,final
220,016r,N022,#snorm,-S-o,,o,initial
221,016v,N002,#snorm,al-s-,al,,final
222,016v,N004,#snorm,al-s-,al,,final
223,016v,N004,#snorm,al-s-,al,,final
224,016v,N005,#snorm,da-s-,da,,final
225,016v,N005,#snorm,da-s-,da,,final
226,016v,N008,#snorm,ain-s-,ain,,final
227,016v,N008,#snorm,da-s-,da,,final
228,016v,N008,#snorm,e-s-,e,,final
229,016v,N011,#snorm,ain-s-,ain,,final
230,016v,N012,#snorm,al-s-,al,,final
231,016v,N013,#snorm,da-s-,da,,final
232,016v,N015,#snorm,e-s-,e,,final
233,016v,N016,#snorm,al-s-,al,,final
234,016v,N017,#snorm,al-s-,al,,final
235,016v,N018,#snorm,yeglig-s-,yeglig,,final
236,016v,N020,#snorm,-S-malcz,,malcz,initial
