folio,initial,medial,final
011r,5.0,2.0,12.0
011v,5.0,0.0,19.0
012r,4.0,1.0,12.0
012v,3.0,1.0,14.0
013r,4.0,0.0,11.0
013v,3.0,1.0,17.0
014r,7.0,0.0,17.0
014v,2.0,0.0,15.0
015r,3.0,0.0,32.0
015v,2.0,0.0,17.0
016r,6.0,0.0,6.0
016v,2.0,1.0,15.0
017r,3.0,0.0,19.0
017v,4.0,1.0,6.0
018r,1.0,1.0,12.0
018v,4.0,0.0,16.0
019r,0.0,0.0,11.0
019v,1.0,0.0,4.0
020r,0.0,0.0,4.0
020v,4.0,0.0,14.0
021r,2.0,0.0,12.0
021v,2.0,0.0,14.0
022r,2.0,0.0,23.0
022v,3.0,0.0,22.0
023r,5.0,0.0,4.0
023v,3.0,0.0,12.0
024r,2.0,1.0,8.0
024v,1.0,3.0,7.0
025r,2.0,0.0,11.0
025v,3.0,0.0,17.0
026r,4.0,1.0,11.0
026v,1.0,0.0,9.0
027r,2.0,0.0,4.0
027v,1.0,1.0,17.0
028r,0.0,3.0,10.0
028v,0.0,1.0,12.0
029r,2.0,2.0,20.0
029v,1.0,2.0,18.0
030r,3.0,0.0,10.0
030v,2.0,0.0,19.0
031r,4.0,0.0,9.0
031v,1.0,3.0,17.0
032r,3.0,0.0,8.0
032v,5.0,2.0,13.0
033r,3.0,0.0,23.0
033v,2.0,3.0,11.0
034r,0.0,0.0,12.0
034v,1.0,0.0,10.0
035r,3.0,2.0,8.0
035v,2.0,1.0,4.0
036r,1.0,0.0,19.0
036v,2.0,1.0,9.0
037r,2.0,0.0,12.0
037v,1.0,1.0,11.0
038r,2.0,0.0,5.0
038v,1.0,0.0,19.0
039r,0.0,0.0,20.0
039v,1.0,0.0,10.0
040r,5.0,1.0,9.0
040v,1.0,1.0,2.0
041r,1.0,0.0,13.0
041v,0.0,1.0,18.0
042r,3.0,1.0,12.0
042v,2.0,0.0,17.0
043r,1.0,0.0,23.0
043v,1.0,1.0,4.0
044r,1.0,1.0,7.0
044v,0.0,0.0,9.0
045r,1.0,0.0,18.0
045v,0.0,0.0,15.0
046r,0.0,0.0,12.0
046v,1.0,1.0,14.0
047r,0.0,0.0,8.0
047v,1.0,0.0,7.0
048r,1.0,0.0,10.0
048v,0.0,0.0,9.0
049r,0.0,0.0,3.0
049v,2.0,4.0,19.0
050r,1.0,0.0,12.0
050v,1.0,0.0,17.0
051r,0.0,1.0,19.0
051v,1.0,1.0,22.0
052r,1.0,0.0,11.0
052v,0.0,0.0,20.0
053r,0.0,0.0,7.0
053v,1.0,1.0,2.0
054r,0.0,0.0,9.0
054v,0.0,0.0,16.0
055r,1.0,3.0,8.0
055v,3.0,2.0,9.0
056r,2.0,0.0,11.0
056v,1.0,0.0,11.0
057r,0.0,1.0,11.0
057v,0.0,5.0,11.0
058r,0.0,2.0,14.0
058v,0.0,0.0,17.0
059r,1.0,0.0,10.0
059v,2.0,0.0,6.0
060r,5.0,0.0,10.0
060v,2.0,0.0,15.0
061r,4.0,0.0,9.0
061v,1.0,3.0,10.0
062r,2.0,3.0,11.0
062v,3.0,4.0,11.0
063r,2.0,0.0,7.0
063v,3.0,1.0,17.0
064r,0.0,1.0,19.0
064v,1.0,0.0,12.0
065r,2.0,0.0,9.0
065v,2.0,1.0,14.0
066r,2.0,0.0,19.0
066v,0.0,0.0,16.0
067r,0.0,0.0,25.0
067v,0.0,0.0,13.0
068r,0.0,0.0,21.0
068v,0.0,0.0,10.0
069r,1.0,0.0,26.0
069v,0.0,0.0,24.0
070r,1.0,0.0,13.0
070v,7.0,0.0,15.0
071r,2.0,0.0,17.0
071v,2.0,0.0,18.0
072r,3.0,1.0,16.0
072v,6.0,2.0,15.0
073r,3.0,0.0,16.0
073v,3.0,0.0,16.0
074r,4.0,0.0,17.0
074v,6.0,0.0,4.0
075r,2.0,0.0,23.0
075v,1.0,0.0,27.0
076r,0.0,0.0,23.0
076v,1.0,0.0,19.0
077r,1.0,0.0,23.0
077v,1.0,1.0,17.0
078r,2.0,0.0,22.0
078v,2.0,1.0,25.0
079r,2.0,0.0,29.0
079v,0.0,0.0,22.0
080r,1.0,0.0,12.0
080v,1.0,0.0,16.0
081r,2.0,0.0,12.0
081v,5.0,0.0,18.0
082r,1.0,0.0,12.0
082v,0.0,4.0,19.0
083r,1.0,0.0,12.0
083v,1.0,0.0,17.0
084r,0.0,2.0,11.0
084v,0.0,0.0,15.0
085r,0.0,1.0,13.0
085v,1.0,0.0,16.0
086r,0.0,0.0,23.0
086v,4.0,7.0,6.0
087r,0.0,0.0,1.0
087v,2.0,0.0,8.0
088r,4.0,0.0,5.0
088v,2.0,0.0,7.0
089r,2.0,0.0,10.0
089v,1.0,0.0,9.0
090r,6.0,0.0,8.0
090v,4.0,0.0,4.0
091r,4.0,0.0,2.0
091v,6.0,0.0,3.0
092r,11.0,0.0,3.0
092v,7.0,0.0,2.0
093r,1.0,0.0,4.0
093v,3.0,1.0,1.0
094r,4.0,0.0,9.0
094v,2.0,0.0,18.0
