folio,line,type,word,pre_text,after_text
143r,N001,#slong,|s|amen,,amen
143r,N002,#slong,|s|ein,,ein
143r,N003,#slong,vi|s|ch,vi,ch
143r,N004,#slong,|s|chueppen,,chueppen
143r,N007,#slong,|s|ewt,,ewt
143r,N007,#slong,al|s|o,al,o
143r,N007,#slong,va|s|t,va,t
143r,N008,#slong,|s|pick,,pick
143r,N010,#slong,vi|s|ch,vi,ch
143r,N010,#slong,|s|ein,,ein
143r,N011,#slong,|s|chueppen,,chueppen
143r,N014,#slong,|s|ammen,,ammen
143r,N014,#slong,na|s||s|enn,na,|s|enn
143r,N014,#slong,na|s||s|enn,na|s|,enn
143r,N014,#slong,me|s||s|ernn,me,|s|ernn
143r,N014,#slong,me|s||s|ernn,me|s|,ernn
143r,N016,#slong,|s|toß,,toß
143r,N016,#slong,|s|piß,,piß
143r,N017,#slong,|s|ein,,ein
143r,N018,#slong,ge|s|chelten,ge,chelten
143r,N018,#slong,|s|toß,,toß
143r,N019,#slong,mor|s|er,mor,er
143r,N020,#slong,|s|eych,,eych
143r,N020,#slong,|s|y,,y
143r,N021,#slong,|s|emel,,emel
143r,N023,#slong,|s|o,,o
143r,N023,#slong,au|s|-s-,au,-s-
143r,N024,#slong,|s|ib,,ib
143v,N001,#slong,wa|s||s|er,wa,|s|er
143v,N001,#slong,wa|s||s|er,wa|s|,er
143v,N001,#slong,|s|eych,,eych
143v,N002,#slong,be|s|teck,be,teck
143v,N005,#slong,ge|s|chelten,ge,chelten
143v,N006,#slong,|s|affran,,affran
143v,N007,#slong,be|s|under,be,under
143v,N007,#slong,|s|tauffel,,tauffel
143v,N008,#slong,|s|chon,,chon
143v,N008,#slong,|s|ein,,ein
143v,N009,#slong,|s|i,,i
143v,N009,#slong,|s|inwel,,inwel
143v,N010,#slong,vi|s|chen,vi,chen
143v,N010,#slong,|s|ein,,ein
143v,N010,#slong,|s|toß,,toß
143v,N011,#slong,mor|s|er,mor,er
143v,N011,#slong,wey|s||s|en,wey,|s|en
143v,N011,#slong,wey|s||s|en,wey|s|,en
143v,N012,#slong,|s|trauben,,trauben
143v,N016,#slong,|s|toß,,toß
143v,N017,#slong,mor|s|er,mor,er
143v,N018,#slong,|s|affran,,affran
143v,N021,#slong,|s|i,,i
143v,N023,#slong,e|s||s|en,e,|s|en
143v,N023,#slong,e|s||s|en,e|s|,en
144r,N001,#slong,|s|enif,,enif
144r,N001,#slong,|s|am,,am
144r,N001,#slong,|s|chon,,chon
144r,N002,#slong,|s|toß,,toß
144r,N002,#slong,mor|s|er,mor,er
144r,N004,#slong,mi|s|ch,mi,ch
144r,N004,#slong,ge|s|to|s||s|en,ge,to|s||s|en
144r,N004,#slong,ge|s|to|s||s|en,ge|s|to,|s|en
144r,N004,#slong,ge|s|to|s||s|en,ge|s|to|s|,en
144r,N005,#slong,|s|eniff,,eniff
144r,N006,#slong,va|s|t,va,t
144r,N007,#slong,|s|o,,o
144r,N008,#slong,|s|elben,,elben
144r,N009,#slong,|s|o,,o
144r,N009,#slong,ha|s|tu,ha,tu
144r,N009,#slong,|s|eniff,,eniff
144r,N010,#slong,|s|chlach,,chlach
144r,N010,#slong,gro|s||s|en,gro,|s|en
144r,N010,#slong,gro|s||s|en,gro|s|,en
144r,N010,#slong,|s|pitz,,pitz
144r,N013,#slong,peter|s|il,peter,il
144r,N013,#slong,|s|aluan,,aluan
144r,N013,#slong,ro|s|t,ro,t
144r,N014,#slong,|s|chmaltz,,chmaltz
144r,N016,#slong,|s|toß,,toß
144r,N016,#slong,|s|piß,,piß
144r,N017,#slong,ro|s|t,ro,t
144r,N018,#slong,|s|chlach,,chlach
144r,N020,#slong,|s|etz,,etz
144r,N021,#slong,ke|s||s|el,ke,|s|el
144r,N021,#slong,ke|s||s|el,ke|s|,el
144r,N021,#slong,wa|s||s|er,wa,|s|er
144r,N021,#slong,wa|s||s|er,wa|s|,er
144r,N022,#slong,|s|ieden,,ieden
144r,N022,#slong,|s|amen,,amen
144r,N023,#slong,|s|chutt,,chutt
144r,N023,#slong,|s|o,,o
144r,N024,#slong,wa|s||s|er,wa,|s|er
144r,N024,#slong,wa|s||s|er,wa|s|,er
144r,N025,#slong,|s|eych,,eych
144r,N025,#slong,|s|chneyt,,chneyt
144v,N001,#slong,|s|toß,,toß
144v,N001,#slong,|s|pi|s||s|el,,pi|s||s|el
144v,N001,#slong,|s|pi|s||s|el,|s|pi,|s|el
144v,N001,#slong,|s|pi|s||s|el,|s|pi|s|,el
144v,N002,#slong,ro|s|t,ro,t
144v,N002,#slong,|s|a,,a
144v,N003,#slong,|s|chmaltz,,chmaltz
144v,N004,#slong,e|s||s|en,e,|s|en
144v,N004,#slong,e|s||s|en,e|s|,en
144v,N005,#slong,wa|s||s|er,wa,|s|er
144v,N005,#slong,wa|s||s|er,wa|s|,er
144v,N005,#slong,e|s||s|ich,e,|s|ich
144v,N005,#slong,e|s||s|ich,e|s|,ich
144v,N006,#slong,|s|eud,,eud
144v,N006,#slong,vi|s|ch,vi,ch
144v,N007,#slong,|s|affran,,affran
144v,N008,#slong,vi|s|ch,vi,ch
144v,N009,#slong,e|s||s|ich,e,|s|ich
144v,N009,#slong,e|s||s|ich,e|s|,ich
144v,N009,#slong,|s|toß,,toß
144v,N010,#slong,|s|eych-s-,,eych-s-
144v,N011,#slong,|s|eudt,,eudt
144v,N012,#slong,kreb|s||s|en,kreb,|s|en
144v,N012,#slong,kreb|s||s|en,kreb|s|,en
144v,N012,#slong,|s|chneyd,,chneyd
144v,N013,#slong,|s|toß,,toß
144v,N014,#slong,kreb|s|en,kreb,en
144v,N014,#slong,mor|s|er,mor,er
144v,N015,#slong,|s|ib,,ib
144v,N016,#slong,|s|emel,,emel
144v,N017,#slong,|s|chlach-s-,,chlach-s-
144v,N021,#slong,|s|ey,,ey
144v,N022,#slong,|s|chlach,,chlach
144v,N023,#slong,|s|ich,,ich
144v,N025,#slong,wur|s|t,wur,t
145r,N001,#slong,ey|s|en,ey,en
145r,N001,#slong,al|s|o,al,o
145r,N002,#slong,|s|chmaltz,,chmaltz
145r,N003,#slong,|s|o,,o
145r,N004,#slong,herte|s|t,herte,t
145r,N004,#slong,mag|s|t,mag,t
145r,N006,#slong,|s|chmaltz,,chmaltz
145r,N010,#slong,|s|o,,o
145r,N011,#slong,|s|chlach,,chlach
145r,N012,#slong,|s|ewd,,ewd
145r,N014,#slong,|s|trutzlen,,trutzlen
145r,N014,#slong,|s|ein,,ein
145r,N015,#slong,|s|chmaltz,,chmaltz
145r,N015,#slong,|s|chneytz,,chneytz
145r,N016,#slong,|s|chu|s||s|el,,chu|s||s|el
145r,N016,#slong,|s|chu|s||s|el,|s|chu,|s|el
145r,N016,#slong,|s|chu|s||s|el,|s|chu|s|,el
145r,N018,#slong,|s|ewd,,ewd
145r,N019,#slong,|s|chal,,chal
145r,N019,#slong,|s|aa,,aa
