,folio,line,type,word,pre_text,after_text,position
0,143r,N001,#slong,|s|amen,,amen,initial
1,143r,N002,#slong,|s|ein,,ein,initial
2,143r,N003,#slong,vi|s|ch,vi,ch,medial
3,143r,N004,#slong,|s|chueppen,,chueppen,initial
4,143r,N007,#slong,|s|ewt,,ewt,initial
5,143r,N007,#slong,al|s|o,al,o,medial
6,143r,N007,#slong,va|s|t,va,t,medial
7,143r,N008,#slong,|s|pick,,pick,initial
8,143r,N010,#slong,vi|s|ch,vi,ch,medial
9,143r,N010,#slong,|s|ein,,ein,initial
10,143r,N011,#slong,|s|chueppen,,chueppen,initial
11,143r,N014,#slong,|s|ammen,,ammen,initial
12,143r,N014,#slong,na|s||s|enn,na,|s|enn,medial
13,143r,N014,#slong,na|s||s|enn,na|s|,enn,medial
14,143r,N014,#slong,me|s||s|ernn,me,|s|ernn,medial
15,143r,N014,#slong,me|s||s|ernn,me|s|,ernn,medial
16,143r,N016,#slong,|s|toß,,toß,initial
17,143r,N016,#slong,|s|piß,,piß,initial
18,143r,N017,#slong,|s|ein,,ein,initial
19,143r,N018,#slong,ge|s|chelten,ge,chelten,medial
20,143r,N018,#slong,|s|toß,,toß,initial
21,143r,N019,#slong,mor|s|er,mor,er,medial
22,143r,N020,#slong,|s|eych,,eych,initial
23,143r,N020,#slong,|s|y,,y,initial
24,143r,N021,#slong,|s|emel,,emel,initial
25,143r,N023,#slong,|s|o,,o,initial
26,143r,N023,#slong,au|s|-s-,au,-s-,medial
27,143r,N024,#slong,|s|ib,,ib,initial
28,143v,N001,#slong,wa|s||s|er,wa,|s|er,medial
29,143v,N001,#slong,wa|s||s|er,wa|s|,er,medial
30,143v,N001,#slong,|s|eych,,eych,initial
31,143v,N002,#slong,be|s|teck,be,teck,medial
32,143v,N005,#slong,ge|s|chelten,ge,chelten,medial
33,143v,N006,#slong,|s|affran,,affran,initial
34,143v,N007,#slong,be|s|under,be,under,medial
35,143v,N007,#slong,|s|tauffel,,tauffel,initial
36,143v,N008,#slong,|s|chon,,chon,initial
37,143v,N008,#slong,|s|ein,,ein,initial
