folio,line,type,word,pre_text,after_text
143r,N002,#snorm,al-s-,al,
143r,N007,#snorm,da-s-,da,
143r,N008,#snorm,e-s-,e,
143r,N008,#snorm,e-s-,e,
143r,N022,#snorm,wein-s-,wein,
143r,N023,#snorm,au|s|-s-,au|s|,
143v,N014,#snorm,pach-s-,pach,
143v,N018,#snorm,gilb-s-,gilb,
143v,N022,#snorm,pach-s-,pach,
143v,N023,#snorm,gib-s-,gib,
144r,N006,#snorm,wach-s-,wach,
144r,N008,#snorm,wenig-s-,wenig,
144r,N012,#snorm,gilb-s-,gilb,
144r,N012,#snorm,pfeffer-s-,pfeffer,
144r,N019,#snorm,gilb-s-,gilb,
144r,N025,#snorm,al-s-,al,
144v,N004,#snorm,gib-s-,gib,
144v,N010,#snorm,|s|eych-s-,|s|eych,
144v,N017,#snorm,|s|chlach-s-,|s|chlach,
144v,N022,#snorm,al-s-,al,
145r,N001,#snorm,pach-s-,pach,
145r,N007,#snorm,al-s-,al,
145r,N015,#snorm,pach-s-,pach,
145r,N017,#snorm,kalb-s-,kalb,
145r,N023,#snorm,ein-s-,ein,
145v,N001,#snorm,e-s-,e,
145v,N005,#snorm,gib-s-,gib,
145v,N018,#snorm,kalb-s-,kalb,
145v,N022,#snorm,gib-s-,gib,
146r,N009,#snorm,ein-s-,ein,
146r,N009,#snorm,kalb-s-,kalb,
146r,N014,#snorm,pach-s-,pach,
146r,N017,#snorm,mach-s-,mach,
146r,N021,#snorm,gib-s-,gib,
146v,N002,#snorm,leg-s-,leg,
146v,N014,#snorm,mach-s-,mach,
146v,N015,#snorm,al-s-,al,
147r,N007,#snorm,tauch-s-,tauch,
147r,N008,#snorm,leg-s-,leg,
147r,N014,#snorm,pach-s-,pach,
147r,N016,#snorm,leng-s-,leng,
147r,N018,#snorm,gilb-s-,gilb,
147r,N020,#snorm,toter-s-,toter,
147r,N021,#snorm,leg-s-,leg,
147r,N022,#snorm,pach-s-,pach,
147v,N001,#snorm,|s|chlag-s-,|s|chlag,
147v,N004,#snorm,ruer-s-,ruer,
147v,N010,#snorm,gib-s-,gib,
147v,N016,#snorm,pach-s-,pach,
148r,N011,#snorm,kalb-s-,kalb,
148r,N016,#snorm,klain-s-,klain,
148v,N010,#snorm,|s|ech-s-,|s|ech,
148v,N019,#snorm,al-s-,al,
148v,N020,#snorm,morgen-s-,morgen,
149r,N002,#snorm,e-s-,e,
149v,N003,#snorm,e-s-,e,
149v,N024,#snorm,pachen-s-,pachen,
150v,N008,#snorm,al-s-,al,
150v,N008,#snorm,gew-s-,gew,
150v,N010,#snorm,gew-s-,gew,
150v,N010,#snorm,da-s-,da,
150v,N010,#snorm,e-s-,e,
150v,N013,#snorm,tbing-s-,tbing,
150v,N014,#snorm,thw-s-,thw,
150v,N019,#snorm,da-s-,da,
150v,N020,#snorm,-S-yeden,,yeden
150v,N023,#snorm,reib-s-,reib,
151r,N006,#snorm,da-s-,da,
151r,N009,#snorm,rur-s-,rur,
151r,N009,#snorm,da-s-,da,
151r,N009,#snorm,e-s-,e,
151r,N011,#snorm,-S-ewd,,ewd
151r,N012,#snorm,da-s-,da,
151r,N013,#snorm,|s|to-s-,|s|to,
151r,N015,#snorm,da-s-,da,
151r,N015,#snorm,alle-s-,alle,
151r,N017,#snorm,-S-o,,o
151r,N018,#snorm,au-s-,au,
151r,N019,#snorm,aw-s-,aw,
151r,N019,#snorm,da-s-,da,
151r,N019,#snorm,al-s-,al,
151r,N020,#snorm,da-s-,da,
151v,N001,#snorm,arba-s-,arba,
151v,N001,#snorm,arba-s-,arba,
151v,N002,#snorm,-S-ewd,,ewd
151v,N003,#snorm,wa|s|-s-er,wa|s|,er
151v,N003,#snorm,da-s-,da,
151v,N005,#snorm,reib-s-,reib,
151v,N006,#snorm,al-s-,al,
151v,N007,#snorm,gann-s-,gann,
151v,N009,#snorm,da-s-,da,
151v,N009,#snorm,E-s-,E,
151v,N011,#snorm,da-s-,da,
151v,N013,#snorm,da-s-,da,
151v,N014,#snorm,da-s-,da,
151v,N014,#snorm,e-s-,e,
151v,N014,#snorm,au-s-,au,
151v,N017,#snorm,leg-s-,leg,
