,folio,line,type,word,pre_text,after_text,position
0,143r,N002,#snorm,al-s-,al,,final
1,143r,N007,#snorm,da-s-,da,,final
2,143r,N008,#snorm,e-s-,e,,final
3,143r,N008,#snorm,e-s-,e,,final
4,143r,N022,#snorm,wein-s-,wein,,final
5,143r,N023,#snorm,au|s|-s-,au|s|,,final
6,143v,N014,#snorm,pach-s-,pach,,final
7,143v,N018,#snorm,gilb-s-,gilb,,final
8,143v,N022,#snorm,pach-s-,pach,,final
9,143v,N023,#snorm,gib-s-,gib,,final
10,144r,N006,#snorm,wach-s-,wach,,final
11,144r,N008,#snorm,wenig-s-,wenig,,final
12,144r,N012,#snorm,gilb-s-,gilb,,final
13,144r,N012,#snorm,pfeffer-s-,pfeffer,,final
14,144r,N019,#snorm,gilb-s-,gilb,,final
15,144r,N025,#snorm,al-s-,al,,final
16,144v,N004,#snorm,gib-s-,gib,,final
17,144v,N010,#snorm,|s|eych-s-,|s|eych,,final
18,144v,N017,#snorm,|s|chlach-s-,|s|chlach,,final
19,144v,N022,#snorm,al-s-,al,,final
20,145r,N001,#snorm,pach-s-,pach,,final
21,145r,N007,#snorm,al-s-,al,,final
22,145r,N015,#snorm,pach-s-,pach,,final
23,145r,N017,#snorm,kalb-s-,kalb,,final
24,145r,N023,#snorm,ein-s-,ein,,final
25,145v,N001,#snorm,e-s-,e,,final
26,145v,N005,#snorm,gib-s-,gib,,final
27,145v,N018,#snorm,kalb-s-,kalb,,final
28,145v,N022,#snorm,gib-s-,gib,,final
29,146r,N009,#snorm,ein-s-,ein,,final
30,146r,N009,#snorm,kalb-s-,kalb,,final
31,146r,N014,#snorm,pach-s-,pach,,final
32,146r,N017,#snorm,mach-s-,mach,,final
33,146r,N021,#snorm,gib-s-,gib,,final
34,146v,N002,#snorm,leg-s-,leg,,final
35,146v,N014,#snorm,mach-s-,mach,,final
36,146v,N015,#snorm,al-s-,al,,final
37,147r,N007,#snorm,tauch-s-,tauch,,final
38,147r,N008,#snorm,leg-s-,leg,,final
39,147r,N014,#snorm,pach-s-,pach,,final
40,147r,N016,#snorm,leng-s-,leng,,final
41,147r,N018,#snorm,gilb-s-,gilb,,final
42,147r,N020,#snorm,toter-s-,toter,,final
43,147r,N021,#snorm,leg-s-,leg,,final
44,147r,N022,#snorm,pach-s-,pach,,final
45,147v,N001,#snorm,|s|chlag-s-,|s|chlag,,final
46,147v,N004,#snorm,ruer-s-,ruer,,final
47,147v,N010,#snorm,gib-s-,gib,,final
48,147v,N016,#snorm,pach-s-,pach,,final
49,148r,N011,#snorm,kalb-s-,kalb,,final
50,148r,N016,#snorm,klain-s-,klain,,final
51,148v,N010,#snorm,|s|ech-s-,|s|ech,,final
52,148v,N019,#snorm,al-s-,al,,final
53,148v,N020,#snorm,morgen-s-,morgen,,final
54,149r,N002,#snorm,e-s-,e,,final
55,149v,N003,#snorm,e-s-,e,,final
56,149v,N024,#snorm,pachen-s-,pachen,,final
57,150v,N008,#snorm,al-s-,al,,final
58,150v,N008,#snorm,gew-s-,gew,,final
59,150v,N010,#snorm,gew-s-,gew,,final
60,150v,N010,#snorm,da-s-,da,,final
61,150v,N010,#snorm,e-s-,e,,final
62,150v,N013,#snorm,tbing-s-,tbing,,final
63,150v,N014,#snorm,thw-s-,thw,,final
64,150v,N019,#snorm,da-s-,da,,final
65,150v,N020,#snorm,-S-yeden,,yeden,initial
66,150v,N023,#snorm,reib-s-,reib,,final
67,151r,N006,#snorm,da-s-,da,,final
68,151r,N009,#snorm,rur-s-,rur,,final
69,151r,N009,#snorm,da-s-,da,,final
70,151r,N009,#snorm,e-s-,e,,final
71,151r,N011,#snorm,-S-ewd,,ewd,initial
72,151r,N012,#snorm,da-s-,da,,final
73,151r,N013,#snorm,|s|to-s-,|s|to,,final
74,151r,N015,#snorm,da-s-,da,,final
75,151r,N015,#snorm,alle-s-,alle,,final
76,151r,N017,#snorm,-S-o,,o,initial
77,151r,N018,#snorm,au-s-,au,,final
78,151r,N019,#snorm,aw-s-,aw,,final
79,151r,N019,#snorm,da-s-,da,,final
80,151r,N019,#snorm,al-s-,al,,final
81,151r,N020,#snorm,da-s-,da,,final
82,151v,N001,#snorm,arba-s-,arba,,final
83,151v,N001,#snorm,arba-s-,arba,,final
84,151v,N002,#snorm,-S-ewd,,ewd,initial
85,151v,N003,#snorm,wa|s|-s-er,wa|s|,er,medial
86,151v,N003,#snorm,da-s-,da,,final
87,151v,N005,#snorm,reib-s-,reib,,final
88,151v,N006,#snorm,al-s-,al,,final
89,151v,N007,#snorm,gann-s-,gann,,final
90,151v,N009,#snorm,da-s-,da,,final
91,151v,N009,#snorm,E-s-,E,,final
92,151v,N011,#snorm,da-s-,da,,final
93,151v,N013,#snorm,da-s-,da,,final
94,151v,N014,#snorm,da-s-,da,,final
95,151v,N014,#snorm,e-s-,e,,final
96,151v,N014,#snorm,au-s-,au,,final
97,151v,N017,#snorm,leg-s-,leg,,final
98,151v,N017,#snorm,da-s-,da,,final
99,151v,N017,#snorm,|s|chmal-s-,|s|chmal,,final
100,151v,N017,#snorm,-S-o,,o,initial
101,151v,N018,#snorm,leg-s-,leg,,final
102,151v,N019,#snorm,da-s-,da,,final
103,151v,N019,#snorm,hey-s-,hey,,final
104,151v,N019,#snorm,zewch-s-,zewch,,final
105,151v,N020,#snorm,dw-s-,dw,,final
