folio,line,type,word,pre_text,after_text
191r,N001,#slong,ka|s|mad,ka,mad
191r,N002,#slong,pi|s|ce-s-,pi,ce-s-
191r,N002,#slong,po|s|t,po,t
191r,N003,#slong,ker|s|en,ker,en
191r,N004,#slong,hir|s|en,hir,en
191r,N004,#slong,|s|ultz,,ultz
191r,N007,#slong,haideni|s|chen,haideni,chen
191r,N008,#slong,|s|pi-s-,,pi-s-
191r,N011,#slong,mor|s|er,mor,er
191r,N014,#slong,pa|s|teden,pa,teden
191r,N014,#slong,|s|ol,,ol
191r,N015,#slong,fi|s|ch,fi,ch
191r,N017,#slong,hech|s|t,hech,t
191r,N019,#slong,lach|s|e,lach,e
191r,N020,#slong,|s|tokfi|s|ch,,tokfi|s|ch
191r,N020,#slong,|s|tokfi|s|ch,|s|tokfi,ch
191r,N021,#slong,|s|weinen,,weinen
191r,N021,#slong,|s|weinen,,weinen
191r,N024,#slong,wei|s||s|en,wei,|s|en
191r,N024,#slong,wei|s||s|en,wei|s|,en
191r,N025,#slong,|s|pi|s||s|e,,pi|s||s|e
191r,N025,#slong,|s|pi|s||s|e,|s|pi,|s|e
191r,N025,#slong,|s|pi|s||s|e,|s|pi|s|,e
191v,N003,#slong,|s|pi-s-,,pi-s-
191v,N005,#slong,mor|s|er,mor,er
191v,N009,#slong,|s|al|s|e,,al|s|e
191v,N009,#slong,|s|al|s|e,|s|al,e
191v,N010,#slong,|s|chwammen,,chwammen
191v,N011,#slong,|s|al|s|en,,al|s|en
191v,N011,#slong,|s|al|s|en,|s|al,en
191v,N012,#slong,|s|ol,,ol
191v,N013,#slong,|s|ol,,ol
191v,N014,#slong,|s|tockfi|s|ch,,tockfi|s|ch
191v,N014,#slong,|s|tockfi|s|ch,|s|tockfi,ch
191v,N014,#slong,|s|ol,,ol
191v,N016,#slong,ritntflai|s|ch,ritntflai,ch
191v,N016,#slong,a|s|chlauch,a,chlauch
191v,N016,#slong,|s|eudt,,eudt
191v,N017,#slong,|s|ol,,ol
191v,N019,#slong,|s|ol,,ol
191v,N021,#slong,|s|ol,,ol
191v,N021,#slong,|s|pi-s-,,pi-s-
191v,N022,#slong,|s|ol,,ol
191v,N023,#slong,|s|pi-s-,,pi-s-
191v,N024,#slong,ro|s|t,ro,t
191v,N026,#slong,gero|s|t,gero,t
192r,N001,#slong,Reini|s|chen,Reini,chen
