,folio,line,type,word,pre_text,after_text,position
0,191r,N001,#slong,ka|s|mad,ka,mad,medial
1,191r,N002,#slong,pi|s|ce-s-,pi,ce-s-,medial
2,191r,N002,#slong,po|s|t,po,t,medial
3,191r,N003,#slong,ker|s|en,ker,en,medial
4,191r,N004,#slong,hir|s|en,hir,en,medial
5,191r,N004,#slong,|s|ultz,,ultz,initial
6,191r,N007,#slong,haideni|s|chen,haideni,chen,medial
7,191r,N008,#slong,|s|pi-s-,,pi-s-,initial
8,191r,N011,#slong,mor|s|er,mor,er,medial
9,191r,N014,#slong,pa|s|teden,pa,teden,medial
10,191r,N014,#slong,|s|ol,,ol,initial
11,191r,N015,#slong,fi|s|ch,fi,ch,medial
12,191r,N017,#slong,hech|s|t,hech,t,medial
13,191r,N019,#slong,lach|s|e,lach,e,medial
14,191r,N020,#slong,|s|tokfi|s|ch,,tokfi|s|ch,initial
15,191r,N020,#slong,|s|tokfi|s|ch,|s|tokfi,ch,medial
16,191r,N021,#slong,|s|weinen,,weinen,initial
17,191r,N021,#slong,|s|weinen,,weinen,initial
18,191r,N024,#slong,wei|s||s|en,wei,|s|en,medial
19,191r,N024,#slong,wei|s||s|en,wei|s|,en,medial
20,191r,N025,#slong,|s|pi|s||s|e,,pi|s||s|e,initial
21,191r,N025,#slong,|s|pi|s||s|e,|s|pi,|s|e,medial
22,191r,N025,#slong,|s|pi|s||s|e,|s|pi|s|,e,medial
23,191v,N003,#slong,|s|pi-s-,,pi-s-,initial
24,191v,N005,#slong,mor|s|er,mor,er,medial
25,191v,N009,#slong,|s|al|s|e,,al|s|e,initial
26,191v,N009,#slong,|s|al|s|e,|s|al,e,medial
27,191v,N010,#slong,|s|chwammen,,chwammen,initial
28,191v,N011,#slong,|s|al|s|en,,al|s|en,initial
29,191v,N011,#slong,|s|al|s|en,|s|al,en,medial
30,191v,N012,#slong,|s|ol,,ol,initial
31,191v,N013,#slong,|s|ol,,ol,initial
32,191v,N014,#slong,|s|tockfi|s|ch,,tockfi|s|ch,initial
33,191v,N014,#slong,|s|tockfi|s|ch,|s|tockfi,ch,medial
34,191v,N014,#slong,|s|ol,,ol,initial
35,191v,N016,#slong,ritntflai|s|ch,ritntflai,ch,medial
36,191v,N016,#slong,a|s|chlauch,a,chlauch,medial
37,191v,N016,#slong,|s|eudt,,eudt,initial
38,191v,N017,#slong,|s|ol,,ol,initial
39,191v,N019,#slong,|s|ol,,ol,initial
40,191v,N021,#slong,|s|ol,,ol,initial
41,191v,N021,#slong,|s|pi-s-,,pi-s-,initial
42,191v,N022,#slong,|s|ol,,ol,initial
43,191v,N023,#slong,|s|pi-s-,,pi-s-,initial
44,191v,N024,#slong,ro|s|t,ro,t,medial
45,191v,N026,#slong,gero|s|t,gero,t,medial
46,192r,N001,#slong,Reini|s|chen,Reini,chen,medial
47,192r,N002,#slong,fi|s|chen,fi,chen,medial
48,192r,N004,#slong,fi|s|chen,fi,chen,medial
49,192r,N005,#slong,fi|s|chen,fi,chen,medial
50,192r,N006,#slong,fi|s|chen,fi,chen,medial
51,192r,N007,#slong,nu|s||s|en,nu,|s|en,medial
52,192r,N007,#slong,nu|s||s|en,nu|s|,en,medial
53,192r,N008,#slong,va|s|ten,va,ten,medial
54,192r,N009,#slong,haidni|s|ch,haidni,ch,medial
55,192r,N018,#slong,ge|s|otten,ge,otten,medial
56,192r,N020,#slong,rei|s|,rei,,final
57,192r,N021,#slong,hunrbru|s|t,hunrbru,t,medial
58,192r,N022,#slong,hunerbru|s|ten,hunerbru,ten,medial
59,192r,N023,#slong,rei|s|mele,rei,mele,medial
60,192r,N026,#slong,nu|s||s|en,nu,|s|en,medial
61,192r,N026,#slong,nu|s||s|en,nu|s|,en,medial
62,192v,N002,#slong,kir|s|en,kir,en,medial
63,192v,N003,#slong,ker|s|chen,ker,chen,medial
64,192v,N004,#slong,kumpo|s|t,kumpo,t,medial
65,192v,N004,#slong,weich|s|len,weich,len,medial
66,192v,N012,#slong,vnderwey|s|en,vnderwey,en,medial
67,192v,N013,#slong,|s|pey|s|en,,pey|s|en,initial
68,192v,N013,#slong,|s|pey|s|en,|s|pey,en,medial
69,192v,N014,#slong,|s|ein,,ein,initial
70,192v,N014,#slong,ver|s|teen,ver,teen,medial
71,192v,N015,#slong,|s|ol,,ol,initial
72,192v,N015,#slong,|s|ehen,,ehen,initial
73,192v,N017,#slong,|s|achen,,achen,initial
74,192v,N021,#slong,gro|s||s|en,gro,|s|en,medial
75,192v,N021,#slong,gro|s||s|en,gro|s|,en,medial
76,192v,N022,#slong,|s|y,,y,initial
77,192v,N022,#slong,|s|ich,,ich,initial
78,192v,N023,#slong,|s|y,,y,initial
79,192v,N023,#slong,|s|ich,,ich,initial
80,192v,N023,#slong,be|s|achen,be,achen,medial
81,192v,N024,#slong,|s|pey|s|e,,pey|s|e,initial
82,192v,N024,#slong,|s|pey|s|e,|s|pey,e,medial
83,192v,N025,#slong,|s|ol,,ol,initial
84,192v,N026,#slong,|s|ol,,ol,initial
85,192v,N026,#slong,|s|ich,,ich,initial
86,192v,N026,#slong,ent|s|chemen,ent,chemen,medial
87,193r,N001,#slong,|s|chier,,chier,initial
88,193r,N001,#slong,wei|s|er,wei,er,medial
89,193r,N003,#slong,|s|ol,,ol,initial
90,193r,N004,#slong,ker|s||s|en,ker,|s|en,medial
91,193r,N004,#slong,ker|s||s|en,ker|s|,en,medial
92,193r,N005,#slong,|s|ol,,ol,initial
93,193r,N005,#slong,|s|ol,,ol,initial
94,193r,N006,#slong,|s|to|s||s|en,,to|s||s|en,initial
95,193r,N006,#slong,|s|to|s||s|en,|s|to,|s|en,medial
96,193r,N006,#slong,|s|to|s||s|en,|s|to|s|,en,medial
97,193r,N006,#slong,ker|s||s|en,ker,|s|en,medial
98,193r,N006,#slong,ker|s||s|en,ker|s|,en,medial
99,193r,N006,#slong,|s|lahe,,lahe,initial
100,193r,N007,#slong,|s|ib,,ib,initial
101,193r,N008,#slong,rei|s|e-s-,rei,e-s-,medial
102,193r,N008,#slong,|s|ol,,ol,initial
103,193r,N008,#slong,|s|to|s||s|en,,to|s||s|en,initial
104,193r,N008,#slong,|s|to|s||s|en,|s|to,|s|en,medial
105,193r,N008,#slong,|s|to|s||s|en,|s|to|s|,en,medial
106,193r,N009,#slong,|s|malcz,,malcz,initial
107,193r,N010,#slong,|s|pechk,,pechk,initial
108,193r,N010,#slong,|s|meltz,,meltz,initial
109,193r,N011,#slong,uer|s|alcz,uer,alcz,medial
110,193r,N013,#slong,hir|s||s|en,hir,|s|en,medial
111,193r,N013,#slong,hir|s||s|en,hir|s|,en,medial
112,193r,N013,#slong,|s|ulczet,,ulczet,initial
113,193r,N014,#slong,hir|s||s|en,hir,|s|en,medial
114,193r,N014,#slong,hir|s||s|en,hir|s|,en,medial
115,193r,N014,#slong,|s|ol,,ol,initial
116,193r,N015,#slong,ro|s|t,ro,t,medial
117,193r,N015,#slong,|s|ol,,ol,initial
118,193r,N016,#slong,|s|ey,,ey,initial
119,193r,N016,#slong,|s|neiden,,neiden,initial
120,193r,N016,#slong,|s|cheiben,,cheiben,initial
121,193r,N017,#slong,honig|s|aim,honig,aim,medial
122,193r,N017,#slong,|s|ol,,ol,initial
123,193r,N017,#slong,|s|ieden,,ieden,initial
124,193r,N018,#slong,|s|toß,,toß,initial
125,193r,N019,#slong,|s|y,,y,initial
126,193r,N020,#slong,|s|chaff,,chaff,initial
127,193r,N020,#slong,wa|s|ch,wa,ch,medial
128,193r,N021,#slong,|s|chicht,,chicht,initial
129,193r,N022,#slong,|s|chicht,,chicht,initial
130,193r,N022,#slong,al|s|o,al,o,medial
131,193r,N023,#slong,rei|s|mel,rei,mel,medial
132,193r,N024,#slong,|s|ol,,ol,initial
133,193v,N001,#slong,rei|s|e-s-,rei,e-s-,medial
134,193v,N001,#slong,|s|ol,,ol,initial
135,193v,N001,#slong,|s|to|s||s|en,,to|s||s|en,initial
136,193v,N001,#slong,|s|to|s||s|en,|s|to,|s|en,medial
137,193v,N001,#slong,|s|to|s||s|en,|s|to|s|,en,medial
138,193v,N003,#slong,bru|s|t,bru,t,medial
139,193v,N003,#slong,|s|ol,,ol,initial
140,193v,N003,#slong,zai|s|en,zai,en,medial
141,193v,N003,#slong,|s|ol,,ol,initial
142,193v,N004,#slong,|s|malcz,,malcz,initial
143,193v,N004,#slong,|s|ol,,ol,initial
144,193v,N005,#slong,|s|ol,,ol,initial
145,193v,N005,#slong,|s|ieden,,ieden,initial
146,193v,N007,#slong,Rey|s|e,Rey,e,medial
147,193v,N008,#slong,wa|s||s|er,wa,|s|er,medial
148,193v,N008,#slong,wa|s||s|er,wa|s|,er,medial
149,193v,N008,#slong,|s|eud,,eud,initial
150,193v,N009,#slong,wa|s||s|er,wa,|s|er,medial
151,193v,N009,#slong,wa|s||s|er,wa|s|,er,medial
152,193v,N009,#slong,|s|eud,,eud,initial
153,193v,N010,#slong,|s|malcz,,malcz,initial
154,193v,N010,#slong,|s|malcz,,malcz,initial
155,193v,N011,#slong,|s|alcz,,alcz,initial
156,193v,N012,#slong,haidni|s|chen,haidni,chen,medial
157,193v,N013,#slong,|s|ol,,ol,initial
158,193v,N013,#slong,|s|oll,,oll,initial
159,193v,N014,#slong,flai|s|ch,flai,ch,medial
160,193v,N014,#slong,|s|peck,,peck,initial
161,193v,N016,#slong,uer|s|alcz,uer,alcz,medial
162,193v,N017,#slong,|s|pi|s|ße,,pi|s|ße,initial
163,193v,N017,#slong,|s|pi|s|ße,|s|pi,ße,medial
164,193v,N018,#slong,|s|ol,,ol,initial
165,193v,N019,#slong,|s|treich,,treich,initial
166,193v,N019,#slong,|s|piß,,piß,initial
167,193v,N020,#slong,|s|chon,,chon,initial
168,193v,N020,#slong,|s|elb,,elb,initial
169,193v,N021,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
170,193v,N021,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
171,193v,N021,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
172,193v,N022,#slong,|s|elcz,,elcz,initial
173,193v,N022,#slong,gemu|s|,gemu,,final
174,193v,N023,#slong,|s|ol,,ol,initial
175,193v,N023,#slong,peter|s|ilg,peter,ilg,medial
176,193v,N023,#slong,|s|aluey,,aluey,initial
177,193v,N026,#slong,|s|ieden,,ieden,initial
178,194r,N001,#slong,-S-pen|s|au,-S-pen,au,medial
179,194r,N002,#slong,i|s|t,i,t,medial
180,194r,N004,#slong,|s|ol,,ol,initial
181,194r,N005,#slong,lo|s|en,lo,en,medial
182,194r,N005,#slong,flai|s|ch,flai,ch,medial
183,194r,N007,#slong,flei|s|ch,flei,ch,medial
184,194r,N007,#slong,i|s|t,i,t,medial
185,194r,N008,#slong,|s|eud,,eud,initial
186,194r,N008,#slong,|s|peck,,peck,initial
187,194r,N009,#slong,|s|chnitten,,chnitten,initial
188,194r,N010,#slong,peter|s|ilg,peter,ilg,medial
189,194r,N010,#slong,|s|altz,,altz,initial
190,194r,N010,#slong,ma|s||s|en,ma,|s|en,medial
191,194r,N010,#slong,ma|s||s|en,ma|s|,en,medial
192,194r,N012,#slong,|s|anft,,anft,initial
193,194r,N012,#slong,ke|s||s|el,ke,|s|el,medial
194,194r,N012,#slong,ke|s||s|el,ke|s|,el,medial
195,194r,N014,#slong,ro|s|t,ro,t,medial
196,194r,N015,#slong,|s|anfft,,anfft,initial
197,194r,N015,#slong,gero|s|t,gero,t,medial
198,194r,N015,#slong,i|s|t,i,t,medial
199,194r,N016,#slong,|s|chu|s||s|el,,chu|s||s|el,initial
200,194r,N016,#slong,|s|chu|s||s|el,|s|chu,|s|el,medial
201,194r,N016,#slong,|s|chu|s||s|el,|s|chu|s|,el,medial
202,194r,N017,#slong,|s|tecklein,,tecklein,initial
203,194r,N018,#slong,lo|s|e,lo,e,medial
204,194r,N020,#slong,ker|s||s|en,ker,|s|en,medial
205,194r,N020,#slong,ker|s||s|en,ker|s|,en,medial
206,194r,N021,#slong,|s|ol,,ol,initial
207,194r,N021,#slong,ker|s||s|en,ker,|s|en,medial
208,194r,N021,#slong,ker|s||s|en,ker|s|,en,medial
209,194r,N021,#slong,|s|ein,,ein,initial
210,194r,N023,#slong,wa|s||s|er,wa,|s|er,medial
211,194r,N023,#slong,wa|s||s|er,wa|s|,er,medial
212,194r,N023,#slong,|s|y,,y,initial
213,194r,N023,#slong,|s|y,,y,initial
214,194r,N023,#slong,|s|yeden,,yeden,initial
215,194r,N024,#slong,|s|toß,,toß,initial
216,194r,N024,#slong,|s|y,,y,initial
217,194r,N025,#slong,|s|lahe,,lahe,initial
218,194r,N025,#slong,|s|ib,,ib,initial
219,194r,N025,#slong,|s|nitten,,nitten,initial
220,194v,N001,#slong,wa|s||s|er,wa,|s|er,medial
221,194v,N001,#slong,wa|s||s|er,wa|s|,er,medial
222,194v,N002,#slong,|s|ee,,ee,initial
223,194v,N002,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
224,194v,N002,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
225,194v,N002,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
226,194v,N003,#slong,Al|s|o,Al,o,medial
227,194v,N003,#slong,mach|s|tu,mach,tu,medial
228,194v,N003,#slong,ma|s||s|,ma,|s|,medial
229,194v,N003,#slong,ma|s||s|,ma|s|,,final
230,194v,N004,#slong,|s|penling,,penling,initial
231,194v,N005,#slong,mor|s|er,mor,er,medial
232,194v,N008,#slong,|s|toß,,toß,initial
233,194v,N008,#slong,|s|amen,,amen,initial
234,194v,N009,#slong,mor|s|er,mor,er,medial
235,194v,N010,#slong,fri|s|chem,fri,chem,medial
236,194v,N010,#slong,|s|malcz,,malcz,initial
237,194v,N010,#slong,|s|toß,,toß,initial
238,194v,N011,#slong,|s|cham,,cham,initial
239,194v,N011,#slong,|s|chon,,chon,initial
240,194v,N012,#slong,|s|chu|s||s|el,,chu|s||s|el,initial
241,194v,N012,#slong,|s|chu|s||s|el,|s|chu,|s|el,medial
242,194v,N012,#slong,|s|chu|s||s|el,|s|chu|s|,el,medial
243,194v,N012,#slong,moer|s|er,moer,er,medial
244,194v,N013,#slong,|s|eige,,eige,initial
245,194v,N014,#slong,|s|maltz,,maltz,initial
246,194v,N014,#slong,|s|chut,,chut,initial
247,194v,N014,#slong,|s|chu|s||s|el,,chu|s||s|el,initial
248,194v,N014,#slong,|s|chu|s||s|el,|s|chu,|s|el,medial
249,194v,N014,#slong,|s|chu|s||s|el,|s|chu|s|,el,medial
250,194v,N016,#slong,hub|s|ch,hub,ch,medial
251,194v,N017,#slong,|s|aur,,aur,initial
252,194v,N018,#slong,|s|neid,,neid,initial
253,194v,N019,#slong,|s|cheiben,,cheiben,initial
254,194v,N019,#slong,wey|s||s|en,wey,|s|en,medial
255,194v,N019,#slong,wey|s||s|en,wey|s|,en,medial
256,194v,N020,#slong,|s|ey,,ey,initial
257,194v,N021,#slong,aine|s|t,aine,t,medial
258,194v,N024,#slong,Be|s|neid,Be,neid,medial
259,194v,N024,#slong,|s|chon,,chon,initial
260,194v,N024,#slong,|s|neid,,neid,initial
261,194v,N024,#slong,|s|y,,y,initial
262,194v,N025,#slong,|s|y,,y,initial
263,194v,N025,#slong,|s|y,,y,initial
264,195r,N002,#slong,|s|turcze,,turcze,initial
265,195r,N003,#slong,lang|s|am,lang,am,medial
266,195r,N005,#slong,i|s|t,i,t,medial
267,195r,N005,#slong,|s|ied,,ied,initial
268,195r,N007,#slong,al|s|o,al,o,medial
269,195r,N007,#slong,mach|s|tu,mach,tu,medial
270,195r,N009,#slong,pa|s|teten,pa,teten,medial
271,195r,N010,#slong,Pa|s|teten,Pa,teten,medial
272,195r,N010,#slong,fi|s|chen,fi,chen,medial
273,195r,N010,#slong,al|s|o,al,o,medial
274,195r,N010,#slong,fi|s|ch,fi,ch,medial
275,195r,N011,#slong,|s|y,,y,initial
276,195r,N011,#slong,|s|ey,,ey,initial
277,195r,N011,#slong,|s|tucklein,,tucklein,initial
278,195r,N012,#slong,peter|s|ilg,peter,ilg,medial
279,195r,N012,#slong,|s|aluej,,aluej,initial
280,195r,N013,#slong,|s|affran,,affran,initial
281,195r,N015,#slong,i|s|t,i,t,medial
282,195r,N015,#slong,fi|s|ch,fi,ch,medial
283,195r,N018,#slong,ke|s||s|el,ke,|s|el,medial
284,195r,N018,#slong,ke|s||s|el,ke|s|,el,medial
285,195r,N019,#slong,al|s|o,al,o,medial
286,195r,N019,#slong,flai|s|ch,flai,ch,medial
287,195r,N021,#slong,fi|s|ch,fi,ch,medial
288,195r,N022,#slong,|s|ol,,ol,initial
289,195r,N022,#slong,|s|ol,,ol,initial
290,195r,N022,#slong,|s|to|s||s|en,,to|s||s|en,initial
291,195r,N022,#slong,|s|to|s||s|en,|s|to,|s|en,medial
292,195r,N022,#slong,|s|to|s||s|en,|s|to|s|,en,medial
293,195r,N023,#slong,mor|s|er,mor,er,medial
294,195r,N023,#slong,|s|ol,,ol,initial
295,195r,N024,#slong,e|s||s|ig,e,|s|ig,medial
296,195r,N024,#slong,e|s||s|ig,e|s|,ig,medial
297,195r,N024,#slong,|s|ol,,ol,initial
298,195r,N025,#slong,|s|enf,,enf,initial
299,195r,N025,#slong,|s|un|s|t,,un|s|t,initial
300,195r,N025,#slong,|s|un|s|t,|s|un,t,medial
301,195r,N026,#slong,|s|oltu,,oltu,initial
302,195r,N026,#slong,|s|ieden,,ieden,initial
303,195r,N026,#slong,|s|malcz,,malcz,initial
304,195r,N027,#slong,gie|s||s|en,gie,|s|en,medial
305,195r,N027,#slong,gie|s||s|en,gie|s|,en,medial
306,195r,N027,#slong,fi|s|ch,fi,ch,medial
307,195v,N001,#slong,di|s|er,di,er,medial
308,195v,N001,#slong,mag|s|tu,mag,tu,medial
309,195v,N003,#slong,|s|chupp,,chupp,initial
310,195v,N003,#slong,lo|s|e,lo,e,medial
311,195v,N004,#slong,vi|s|ch,vi,ch,medial
312,195v,N004,#slong,|s|y,,y,initial
313,195v,N004,#slong,|s|ind,,ind,initial
314,195v,N005,#slong,|s|eud,,eud,initial
315,195v,N005,#slong,|s|ey,,ey,initial
316,195v,N005,#slong,la|s|-s-,la,-s-,medial
317,195v,N005,#slong,|s|y,,y,initial
318,195v,N005,#slong,|s|toß,,toß,initial
319,195v,N005,#slong,|s|y,,y,initial
320,195v,N006,#slong,mor|s|er,mor,er,medial
321,195v,N007,#slong,|s|affran,,affran,initial
322,195v,N007,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
323,195v,N007,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
324,195v,N007,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
325,195v,N007,#slong,|s|y,,y,initial
326,195v,N007,#slong,ma|s||s|en,ma,|s|en,medial
327,195v,N007,#slong,ma|s||s|en,ma|s|,en,medial
328,195v,N008,#slong,be|s|preng,be,preng,medial
329,195v,N008,#slong,|s|y,,y,initial
330,195v,N008,#slong,au|s||s|en,au,|s|en,medial
331,195v,N008,#slong,au|s||s|en,au|s|,en,medial
332,195v,N009,#slong,|s|alcz,,alcz,initial
333,195v,N009,#slong,|s|y,,y,initial
334,195v,N009,#slong,ro|s|t,ro,t,medial
335,195v,N010,#slong,al|s|o,al,o,medial
336,195v,N010,#slong,mach|s|tu,mach,tu,medial
337,195v,N012,#slong,fri|s|ch,fri,ch,medial
338,195v,N012,#slong,wa|s|ch,wa,ch,medial
339,195v,N013,#slong,|s|y,,y,initial
340,195v,N014,#slong,|s|aluej,,aluej,initial
341,195v,N014,#slong,peter|s|ilg,peter,ilg,medial
342,195v,N014,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
343,195v,N014,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
344,195v,N014,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
345,195v,N015,#slong,|s|altz,,altz,initial
346,195v,N015,#slong,|s|y,,y,initial
347,195v,N015,#slong,ma|s||s|en,ma,|s|en,medial
348,195v,N015,#slong,ma|s||s|en,ma|s|,en,medial
349,195v,N017,#slong,|s|preng,,preng,initial
350,195v,N018,#slong,au|s||s|en,au,|s|en,medial
351,195v,N018,#slong,au|s||s|en,au|s|,en,medial
352,195v,N018,#slong,|s|alcz,,alcz,initial
353,195v,N018,#slong,|s|ey,,ey,initial
354,195v,N019,#slong,ro|s|t,ro,t,medial
355,195v,N019,#slong,|s|y,,y,initial
356,195v,N020,#slong,|s|ol,,ol,initial
357,195v,N021,#slong,lach|s|en,lach,en,medial
358,195v,N021,#slong,|s|chab,,chab,initial
359,195v,N021,#slong,|s|chueppen,,chueppen,initial
360,195v,N022,#slong,|s|pald,,pald,initial
361,195v,N022,#slong,|s|neid,,neid,initial
362,195v,N022,#slong,|s|tuken,,tuken,initial
363,195v,N022,#slong,peter|s|ilg,peter,ilg,medial
364,195v,N023,#slong,|s|aluej,,aluej,initial
365,195v,N023,#slong,ge|s|to|s||s|en,ge,to|s||s|en,medial
366,195v,N023,#slong,ge|s|to|s||s|en,ge|s|to,|s|en,medial
367,195v,N023,#slong,ge|s|to|s||s|en,ge|s|to|s|,en,medial
368,195v,N023,#slong,|s|altz,,altz,initial
369,195v,N024,#slong,ma|s||s|en,ma,|s|en,medial
370,195v,N024,#slong,ma|s||s|en,ma|s|,en,medial
371,195v,N025,#slong,|s|tuk,,tuk,initial
372,195v,N025,#slong,|s|tuk,,tuk,initial
373,196r,N001,#slong,|s|ey,,ey,initial
374,196r,N001,#slong,kan|s|tu,kan,tu,medial
375,196r,N001,#slong,|s|y,,y,initial
376,196r,N001,#slong,ge|s|tampfen,ge,tampfen,medial
377,196r,N002,#slong,mach|s|tu,mach,tu,medial
378,196r,N003,#slong,be|s|onder,be,onder,medial
379,196r,N003,#slong,|s|einem,,einem,initial
380,196r,N004,#slong,I|s|t,I,t,medial
381,196r,N004,#slong,flei|s|chtag-s-,flei,chtag-s-,medial
382,196r,N004,#slong,mag|s|tu,mag,tu,medial
383,196r,N005,#slong,ua|s|hannen,ua,hannen,medial
384,196r,N006,#slong,ha|s|t,ha,t,medial
385,196r,N006,#slong,|s|y,,y,initial
386,196r,N006,#slong,|s|maltz,,maltz,initial
