folio,initial,medial,final
191r,7.0,16.0,0.0
191v,15.0,8.0,0.0
192r,0.0,15.0,1.0
192v,13.0,12.0,0.0
193r,26.0,20.0,0.0
193v,26.0,18.0,1.0
194r,19.0,23.0,0.0
194v,22.0,21.0,1.0
195r,17.0,26.0,0.0
195v,31.0,35.0,0.0
196r,20.0,38.0,0.0
196v,29.0,17.0,0.0
197r,35.0,22.0,0.0
197v,35.0,14.0,0.0
198r,25.0,23.0,0.0
198v,32.0,21.0,0.0
199r,19.0,13.0,0.0
199v,23.0,27.0,0.0
200r,26.0,23.0,0.0
200v,36.0,9.0,0.0
201r,29.0,22.0,0.0
201v,27.0,13.0,0.0
202r,12.0,20.0,0.0
202v,21.0,16.0,0.0
203r,14.0,19.0,0.0
203v,24.0,6.0,0.0
204r,17.0,11.0,0.0
204v,16.0,13.0,0.0
205r,15.0,12.0,0.0
205v,33.0,18.0,0.0
206r,10.0,11.0,0.0
206v,12.0,17.0,1.0
207r,34.0,39.0,0.0
207v,26.0,12.0,0.0
208r,26.0,11.0,0.0
208v,32.0,11.0,0.0
209r,33.0,17.0,1.0
209v,37.0,9.0,0.0
210r,15.0,15.0,0.0
210v,40.0,14.0,0.0
211r,20.0,13.0,0.0
211v,24.0,14.0,0.0
212r,15.0,12.0,0.0
212v,35.0,30.0,0.0
213r,21.0,20.0,0.0
213v,24.0,9.0,0.0
214r,28.0,12.0,0.0
214v,21.0,14.0,0.0
215r,17.0,10.0,0.0
215v,22.0,17.0,0.0
216r,20.0,16.0,1.0
216v,25.0,30.0,0.0
217r,25.0,26.0,0.0
217v,31.0,19.0,0.0
218r,24.0,10.0,0.0
218v,23.0,10.0,0.0
219r,18.0,15.0,0.0
219v,22.0,11.0,0.0
220r,21.0,14.0,0.0
220v,24.0,12.0,0.0
221r,24.0,8.0,0.0
221v,24.0,6.0,0.0
222r,16.0,15.0,0.0
222v,39.0,18.0,0.0
223r,24.0,17.0,0.0
223v,34.0,20.0,0.0
224r,17.0,15.0,0.0
