folio,line,type,word,pre_text,after_text
191r,N002,#snorm,pi|s|ce-s-,pi|s|ce,
191r,N003,#snorm,mu-s-,mu,
191r,N004,#snorm,aine-s-,aine,
191r,N008,#snorm,|s|pi-s-,|s|pi,
191r,N013,#snorm,mu-s-,mu,
191r,N023,#snorm,muo-s-,muo,
191v,N001,#snorm,gan-s-,gan,
191v,N002,#snorm,gepachen-s-,gepachen,
191v,N003,#snorm,|s|pi-s-,|s|pi,
191v,N017,#snorm,gan-s-,gan,
191v,N021,#snorm,arbai-s-,arbai,
191v,N021,#snorm,|s|pi-s-,|s|pi,
191v,N023,#snorm,|s|pi-s-,|s|pi,
192r,N002,#snorm,mu-s-,mu,
192r,N010,#snorm,muo-s-,muo,
192r,N011,#snorm,muo-s-,muo,
192r,N013,#snorm,muo-s-,muo,
192r,N014,#snorm,muo-s-,muo,
192r,N018,#snorm,rei-s-,rei,
192r,N019,#snorm,rei-s-,rei,
192r,N020,#snorm,muo-s-,muo,
192r,N022,#snorm,muo-s-,muo,
192r,N024,#snorm,muo-s-,muo,
192r,N025,#snorm,muo-s-,muo,
192v,N015,#snorm,da-s-,da,
192v,N018,#snorm,da-s-,da,
192v,N019,#snorm,e-s-,e,
192v,N025,#snorm,da-s-,da,
192v,N027,#snorm,da-s-,da,
193r,N001,#snorm,Da-s-,Da,
193r,N002,#snorm,da-s-,da,
193r,N003,#snorm,da-s-,da,
193r,N004,#snorm,muo-s-,muo,
193r,N008,#snorm,rei|s|e-s-,rei|s|e,
193r,N009,#snorm,da-s-,da,
193r,N010,#snorm,da-s-,da,
193r,N011,#snorm,wei-s-,wei,
193r,N011,#snorm,zuker-s-,zuker,
193r,N012,#snorm,e-s-,e,
193r,N014,#snorm,Eine-s-,Eine,
193r,N019,#snorm,ua-s-,ua,
193r,N020,#snorm,e-s-,e,
193r,N020,#snorm,da-s-,da,
193r,N021,#snorm,geu-s-,geu,
193r,N021,#snorm,honig-s-,honig,
193r,N022,#snorm,furba-s-,furba,
193r,N024,#snorm,mandel-s-,mandel,
193v,N001,#snorm,rei|s|e-s-,rei|s|e,
193v,N002,#snorm,da-s-,da,
193v,N002,#snorm,ain-s-,ain,
193v,N002,#snorm,huon-s-,huon,
193v,N004,#snorm,reine-s-,reine,
193v,N005,#snorm,e-s-,e,
193v,N006,#snorm,zuker-s-,zuker,
193v,N007,#snorm,muo-s-,muo,
193v,N009,#snorm,geu-s-,geu,
193v,N009,#snorm,da-s-,da,
193v,N010,#snorm,geu-s-,geu,
193v,N010,#snorm,da-s-,da,
193v,N011,#snorm,e-s-,e,
193v,N016,#snorm,da-s-,da,
193v,N016,#snorm,e-s-,e,
193v,N019,#snorm,da-s-,da,
193v,N019,#snorm,da-s-,da,
193v,N020,#snorm,e-s-,e,
193v,N020,#snorm,e-s-,e,
193v,N020,#snorm,da-s-,da,
193v,N024,#snorm,da-s-,da,
193v,N025,#snorm,prod-s-,prod,
193v,N025,#snorm,da-s-,da,
193v,N025,#snorm,da-s-,da,
194r,N001,#snorm,-S-pen|s|au,,pen|s|au
194r,N002,#snorm,da-s-,da,
194r,N003,#snorm,da-s-,da,
194r,N003,#snorm,da-s-,da,
194r,N003,#snorm,da-s-,da,
194r,N003,#snorm,e-s-,e,
