,folio,line,type,word,pre_text,after_text,position
0,191r,N002,#snorm,pi|s|ce-s-,pi|s|ce,,final
1,191r,N003,#snorm,mu-s-,mu,,final
2,191r,N004,#snorm,aine-s-,aine,,final
3,191r,N008,#snorm,|s|pi-s-,|s|pi,,final
4,191r,N013,#snorm,mu-s-,mu,,final
5,191r,N023,#snorm,muo-s-,muo,,final
6,191v,N001,#snorm,gan-s-,gan,,final
7,191v,N002,#snorm,gepachen-s-,gepachen,,final
8,191v,N003,#snorm,|s|pi-s-,|s|pi,,final
9,191v,N017,#snorm,gan-s-,gan,,final
10,191v,N021,#snorm,arbai-s-,arbai,,final
11,191v,N021,#snorm,|s|pi-s-,|s|pi,,final
12,191v,N023,#snorm,|s|pi-s-,|s|pi,,final
13,192r,N002,#snorm,mu-s-,mu,,final
14,192r,N010,#snorm,muo-s-,muo,,final
15,192r,N011,#snorm,muo-s-,muo,,final
16,192r,N013,#snorm,muo-s-,muo,,final
17,192r,N014,#snorm,muo-s-,muo,,final
18,192r,N018,#snorm,rei-s-,rei,,final
19,192r,N019,#snorm,rei-s-,rei,,final
20,192r,N020,#snorm,muo-s-,muo,,final
21,192r,N022,#snorm,muo-s-,muo,,final
22,192r,N024,#snorm,muo-s-,muo,,final
23,192r,N025,#snorm,muo-s-,muo,,final
24,192v,N015,#snorm,da-s-,da,,final
25,192v,N018,#snorm,da-s-,da,,final
26,192v,N019,#snorm,e-s-,e,,final
27,192v,N025,#snorm,da-s-,da,,final
28,192v,N027,#snorm,da-s-,da,,final
29,193r,N001,#snorm,Da-s-,Da,,final
30,193r,N002,#snorm,da-s-,da,,final
31,193r,N003,#snorm,da-s-,da,,final
32,193r,N004,#snorm,muo-s-,muo,,final
33,193r,N008,#snorm,rei|s|e-s-,rei|s|e,,final
34,193r,N009,#snorm,da-s-,da,,final
35,193r,N010,#snorm,da-s-,da,,final
36,193r,N011,#snorm,wei-s-,wei,,final
37,193r,N011,#snorm,zuker-s-,zuker,,final
38,193r,N012,#snorm,e-s-,e,,final
39,193r,N014,#snorm,Eine-s-,Eine,,final
