folio,initial,medial,final
191r,0.0,0.0,6.0
191v,0.0,0.0,7.0
192r,0.0,0.0,11.0
192v,0.0,0.0,5.0
193r,0.0,0.0,18.0
193v,0.0,0.0,24.0
194r,4.0,0.0,35.0
194v,2.0,0.0,31.0
195r,2.0,0.0,19.0
195v,2.0,0.0,9.0
196r,4.0,0.0,16.0
196v,2.0,0.0,40.0
197r,1.0,0.0,14.0
197v,2.0,0.0,31.0
198r,1.0,0.0,23.0
198v,1.0,0.0,19.0
199r,3.0,0.0,32.0
199v,0.0,0.0,16.0
200r,1.0,0.0,30.0
200v,0.0,0.0,28.0
201r,2.0,0.0,33.0
201v,0.0,0.0,23.0
202r,0.0,0.0,18.0
202v,0.0,0.0,15.0
203r,0.0,0.0,13.0
203v,0.0,0.0,12.0
204r,0.0,0.0,12.0
204v,0.0,0.0,19.0
205r,0.0,0.0,13.0
205v,0.0,0.0,12.0
206r,0.0,0.0,22.0
206v,0.0,0.0,16.0
207r,0.0,0.0,23.0
207v,1.0,0.0,17.0
208r,0.0,0.0,16.0
208v,0.0,0.0,15.0
209r,1.0,0.0,20.0
209v,0.0,0.0,18.0
210r,0.0,0.0,22.0
210v,0.0,0.0,12.0
211r,0.0,0.0,26.0
211v,0.0,0.0,18.0
212r,1.0,0.0,6.0
212v,1.0,0.0,5.0
213r,2.0,0.0,8.0
213v,1.0,0.0,24.0
214r,2.0,0.0,5.0
214v,1.0,0.0,20.0
215r,1.0,0.0,25.0
215v,1.0,0.0,22.0
216r,0.0,0.0,20.0
216v,1.0,0.0,19.0
217r,2.0,0.0,12.0
217v,4.0,0.0,13.0
218r,0.0,2.0,26.0
218v,0.0,0.0,28.0
219r,0.0,0.0,20.0
219v,3.0,1.0,21.0
220r,0.0,1.0,24.0
220v,0.0,0.0,14.0
221r,0.0,0.0,16.0
221v,0.0,0.0,20.0
222r,1.0,0.0,24.0
222v,0.0,1.0,14.0
223r,0.0,1.0,16.0
223v,1.0,0.0,27.0
224r,1.0,0.0,12.0
