folio,initial,medial,final
011r,17.0,15.0,0.0
011v,21.0,8.0,0.0
012r,28.0,12.0,0.0
012v,16.0,3.0,0.0
013r,11.0,18.0,1.0
013v,13.0,10.0,0.0
014r,13.0,10.0,1.0
014v,20.0,9.0,0.0
015r,11.0,10.0,0.0
015v,14.0,11.0,0.0
016r,22.0,2.0,0.0
016v,15.0,12.0,0.0
017r,10.0,10.0,1.0
017v,28.0,9.0,0.0
018r,28.0,15.0,0.0
018v,15.0,16.0,0.0
019r,20.0,20.0,0.0
019v,23.0,11.0,1.0
020r,22.0,11.0,0.0
020v,20.0,21.0,0.0
021r,11.0,15.0,0.0
021v,12.0,13.0,0.0
022r,14.0,21.0,0.0
022v,18.0,15.0,0.0
023r,11.0,9.0,0.0
023v,20.0,22.0,1.0
024r,20.0,10.0,0.0
024v,17.0,11.0,0.0
025r,16.0,13.0,0.0
025v,13.0,13.0,0.0
026r,11.0,29.0,0.0
026v,20.0,16.0,0.0
027r,12.0,17.0,0.0
027v,28.0,13.0,0.0
028r,22.0,17.0,0.0
028v,15.0,11.0,0.0
029r,16.0,19.0,0.0
029v,12.0,16.0,0.0
030r,12.0,10.0,0.0
030v,18.0,19.0,0.0
031r,11.0,14.0,0.0
031v,14.0,13.0,0.0
032r,10.0,3.0,0.0
032v,17.0,7.0,0.0
033r,12.0,15.0,0.0
033v,13.0,15.0,0.0
034r,16.0,9.0,0.0
034v,9.0,17.0,0.0
035r,18.0,17.0,0.0
035v,23.0,9.0,0.0
036r,23.0,15.0,0.0
036v,13.0,16.0,0.0
037r,13.0,10.0,0.0
037v,13.0,11.0,0.0
038r,14.0,11.0,0.0
038v,9.0,10.0,0.0
039r,10.0,8.0,0.0
039v,13.0,4.0,0.0
040r,11.0,13.0,0.0
040v,20.0,9.0,0.0
041r,14.0,12.0,1.0
041v,18.0,11.0,0.0
042r,29.0,13.0,0.0
042v,12.0,12.0,0.0
043r,21.0,6.0,0.0
043v,22.0,16.0,0.0
044r,20.0,18.0,0.0
044v,13.0,13.0,0.0
045r,14.0,14.0,0.0
045v,9.0,8.0,0.0
046r,16.0,17.0,0.0
046v,11.0,13.0,0.0
047r,9.0,13.0,1.0
047v,15.0,14.0,0.0
048r,21.0,13.0,0.0
048v,20.0,11.0,1.0
049r,25.0,24.0,1.0
049v,14.0,21.0,0.0
050r,18.0,17.0,0.0
050v,1.0,6.0,0.0
051r,24.0,22.0,1.0
051v,12.0,25.0,0.0
052r,17.0,20.0,0.0
052v,11.0,11.0,1.0
053r,14.0,13.0,0.0
053v,16.0,12.0,0.0
054r,14.0,26.0,0.0
054v,19.0,19.0,0.0
055r,12.0,25.0,0.0
055v,14.0,15.0,0.0
056r,17.0,12.0,0.0
056v,15.0,20.0,0.0
057r,14.0,17.0,0.0
057v,13.0,13.0,0.0
058r,14.0,14.0,0.0
058v,17.0,18.0,1.0
059r,13.0,13.0,0.0
059v,11.0,15.0,0.0
060r,11.0,10.0,1.0
060v,17.0,19.0,0.0
061r,16.0,24.0,0.0
061v,8.0,29.0,0.0
062r,11.0,28.0,0.0
062v,24.0,9.0,0.0
063r,33.0,17.0,0.0
063v,18.0,18.0,0.0
064r,15.0,13.0,0.0
064v,10.0,16.0,0.0
065r,15.0,8.0,0.0
065v,9.0,23.0,0.0
066r,9.0,19.0,0.0
066v,10.0,8.0,0.0
067r,11.0,20.0,0.0
067v,21.0,7.0,0.0
068r,12.0,15.0,0.0
068v,12.0,9.0,0.0
069r,15.0,24.0,0.0
069v,13.0,17.0,0.0
070r,19.0,19.0,0.0
070v,24.0,13.0,0.0
071r,21.0,15.0,0.0
071v,12.0,5.0,0.0
072r,16.0,13.0,0.0
072v,14.0,15.0,0.0
073r,18.0,14.0,0.0
073v,19.0,24.0,0.0
074r,14.0,7.0,0.0
074v,19.0,22.0,0.0
075r,19.0,11.0,0.0
075v,24.0,18.0,0.0
076r,22.0,11.0,0.0
076v,20.0,11.0,0.0
077r,16.0,10.0,0.0
077v,15.0,20.0,0.0
078r,29.0,25.0,0.0
078v,14.0,23.0,0.0
079r,23.0,25.0,0.0
079v,22.0,27.0,0.0
080r,17.0,20.0,0.0
080v,13.0,13.0,0.0
081r,11.0,25.0,0.0
081v,12.0,20.0,0.0
082r,16.0,22.0,0.0
082v,20.0,13.0,0.0
083r,13.0,23.0,1.0
083v,23.0,26.0,0.0
084r,27.0,17.0,0.0
084v,14.0,19.0,0.0
085r,22.0,15.0,0.0
085v,16.0,15.0,0.0
086r,32.0,26.0,0.0
086v,3.0,7.0,0.0
087r,2.0,19.0,0.0
087v,1.0,10.0,1.0
088r,0.0,13.0,0.0
088v,0.0,5.0,0.0
089r,2.0,8.0,0.0
089v,5.0,14.0,0.0
090r,7.0,28.0,0.0
090v,4.0,16.0,0.0
091r,4.0,35.0,0.0
091v,10.0,24.0,0.0
092r,0.0,21.0,0.0
092v,5.0,21.0,0.0
093r,4.0,21.0,0.0
093v,1.0,3.0,0.0
094r,15.0,18.0,0.0
094v,12.0,7.0,0.0
